Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
SZ_x__tolerance:0.001, 0.255783, 0.00710903, 69.6467, 50.003, 112.998, 36.7068, 53.1952, 16.5391
SZ_y__tolerance:0.001, 0.255814, 0.0075367, 69.393, 49.7162, 109.895, 38.8449, 50.8812, 15.3533
SZ_z__tolerance:0.001, 0.255692, 0.00705831, 69.6778, 47.1605, 88.5022, 38.522, 75.8474, 13.2241
SZ_x__tolerance:0.0001, 0.0254364, 7.01679e-05, 89.7034, 46.0438, 68.5597, 36.3758, 33.2025, 6.48684
SZ_y__tolerance:0.0001, 0.0254364, 7.45307e-05, 89.4414, 45.8875, 65.9815, 36.6408, 32.4143, 6.26299
SZ_z__tolerance:0.0001, 0.0253296, 6.92496e-05, 89.7606, 44.3921, 51.5814, 35.4113, 45.2166, 5.73
SZ_x__tolerance:1e-05, 0.00241089, 6.22983e-07, 110.22, 44.3647, 38.5077, 32.9561, 23.4005, 3.8101
SZ_y__tolerance:1e-05, 0.00241089, 6.61399e-07, 109.96, 44.4052, 38.0994, 32.556, 22.8318, 3.73404
SZ_z__tolerance:1e-05, 0.00231934, 5.25982e-07, 110.955, 43.5785, 32.6861, 35.6762, 29.3843, 3.48572
SZ_x__tolerance:1e-06, 0.00012207, 1.46723e-09, 136.5, 41.2208, 68.2301, 24.3113, 19.249, 2.38633
SZ_y__tolerance:1e-06, 0.00012207, 1.5536e-09, 136.251, 40.665, 70.655, 24.1628, 18.8225, 2.35523
SZ_z__tolerance:1e-06, 0.00012207, 2.64594e-10, 143.939, 28.8197, 72.407, 24.8371, 68.0508, 1.88239
BigCrunch_x__tolerance:0.001, 0.125, 0.00287934, 73.5719, 14.9724, 110.754, 10.4484, 59.0694, 13.553
BigCrunch_y__tolerance:0.001, 0.125, 0.00301344, 73.3742, 14.5519, 105.679, 10.0449, 45.6613, 13.0411
BigCrunch_z__tolerance:0.001, 0.125, 0.00301163, 73.3768, 10.0287, 86.499, 8.36845, 49.1878, 11.1931
BigCrunch_x__tolerance:0.0001, 0.0078125, 1.12494e-05, 97.6535, 12.0431, 68.799, 8.87424, 37.527, 5.05552
BigCrunch_y__tolerance:0.0001, 0.0078125, 1.17714e-05, 97.4565, 11.4621, 66.9364, 8.67286, 33.7951, 4.98338
BigCrunch_z__tolerance:0.0001, 0.0078125, 1.17642e-05, 97.4592, 8.44205, 58.3509, 7.25305, 30.2898, 4.68738
