Compressor_field__params, relative_error, absolute_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 0, 0, inf, 67.1568, 592.147, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 0, 0, inf, 71.1971, 536.241, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 0, 0, inf, 99.1341, 1239.72, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 0, 0, inf, 63.3754, 478.86, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 0, 0, inf, 66.4142, 760.923, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 0, 0, inf, 86.8416, 604.441, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.05_window-size1024_nCoeff50, 0.000500052, 30.1641, 2.96896e-05, 142.301, 0.749402, 13.8534, 1.44324,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.05_window-size1024_nCoeff50, 0.000500051, 2.5957, 4.57944e-06, 131.242, 0.680107, 13.6795, 1.31329,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.05_window-size1024_nCoeff50, 0.000500053, 1287.25, 9.30261, 119.464, 0.937115, 14.0928, 1.64705,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.05_window-size1024_nCoeff50, 0.000500053, 15638, 1.51067e+06, 88.6626, 0.770716, 13.9027, 1.54573,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.05_window-size1024_nCoeff50, 0.000500052, 16222, 1.78637e+06, 87.9751, 0.771867, 13.9083, 1.54866,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.05_window-size1024_nCoeff50, 0.000500052, 15878, 1.4616e+06, 88.9473, 0.711091, 13.7391, 1.37763,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.1_window-size1024_nCoeff50, 0.00100004, 66.125, 0.00012314, 136.123, 0.892522, 14.0854, 1.60478,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_dark_matter_density__tolerance0.1_window-size1024_nCoeff50, 0.00100005, 6.56201, 1.86986e-05, 125.132, 0.777327, 13.8035, 1.42049,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_temperature__tolerance0.1_window-size1024_nCoeff50, 0.00100005, 2634, 36.1122, 113.574, 1.20531, 14.4717, 1.86866,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_x__tolerance0.1_window-size1024_nCoeff50, 0.00100005, 29754, 5.23354e+06, 83.2663, 0.954888, 14.1187, 1.7225,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_y__tolerance0.1_window-size1024_nCoeff50, 0.00100005, 32900, 6.17156e+06, 82.5909, 0.940555, 14.0993, 1.72732,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_velocity_z__tolerance0.1_window-size1024_nCoeff50, 0.00100005, 32110, 5.5203e+06, 83.1759, 0.843487, 13.953, 1.51478,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
Isabela_baryon_density__tolerance0.15_window-size1024_nCoeff50, 0.00150155, 101.148, 0.000321017, 131.961, 1.00618, 14.2172, 1.72202,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
