Compressor_field__params, name, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_Ne__, BLOSC_, 0, 0, 0, -nan, 0, 3819.84, 2701.5, 247.759
BLOSC_phi_grav__, BLOSC_, 0, 0, 0, inf, 216371, 169.09, 1573.91, 1.38873
SZ_phi_grav__abs0.01, SZ_abs_0.01_, 0.00999975, 0.00998515, 3.1424e-05, 151.731, 216371, 82.4924, 84.683, 2.9306
SZ_phi_grav__abs0.1, SZ_abs_0.1_, 0.0999999, 0.0998889, 0.00326942, 131.559, 216371, 87.1546, 131.57, 4.37223
zfp_phi_grav__abs0.01, zfp_abs_0.01_, 0.0078125, 0.00175442, 4.79494e-08, 179.896, 216371, 93.377, 143.198, 1.97118
zfp_phi_grav__abs0.1, zfp_abs_0.1_, 0.0175781, 0.010727, 8.00874e-06, 157.668, 216371, 99.2526, 160.304, 2.4093
BLOSC_pressure__, BLOSC_, 0, 0, 0, inf, 3.26916e+10, 170.857, 2215.61, 1.34049
BLOSC_magvel__, BLOSC_, 0, 0, 0, inf, 56.5288, 169.283, 1680.39, 1.31013
SZ_magvel__abs0.01, SZ_abs_0.01_, 0.00999999, 0.00999928, 3.31527e-05, 79.8402, 56.5288, 85.7976, 151.453, 5.77793
SZ_magvel__abs0.1, SZ_abs_0.1_, 0.0999999, 0.0999958, 0.00333312, 59.8169, 56.5288, 98.8275, 214.601, 12.0476
SZ_magvel__abs0.5, SZ_abs_0.5_, 0.5, 0.499936, 0.0786607, 46.0878, 56.5288, 149.536, 362.201, 26.0108
SZ_magvel__abs1.0, SZ_abs_1.0_, 1, 0.999996, 0.167704, 42.8, 56.5288, 161.696, 476.4, 81.2178
zfp_magvel__abs0.01, zfp_abs_0.01_, 0.00233698, 0.00169897, 1.16421e-07, 104.385, 56.5288, 127.339, 193.897, 3.05247
zfp_magvel__abs0.1, zfp_abs_0.1_, 0.0190887, 0.016136, 7.4553e-06, 86.3207, 56.5288, 141.936, 230.658, 4.27621
zfp_magvel__abs0.5, zfp_abs_0.5_, 0.148775, 0.110424, 0.000476124, 68.2682, 56.5288, 162.554, 290.336, 7.14322
zfp_magvel__abs1.0, zfp_abs_1.0_, 0.29249, 0.224312, 0.00185912, 62.3523, 56.5288, 172.874, 321.411, 9.20524
BLOSC_rho_E__, BLOSC_, 0, 0, 0, inf, 1.11809e+13, 166.577, 2387.65, 1.2775
BLOSC_rho_e__, BLOSC_, 0, 0, 0, inf, 4.90374e+10, 132.879, 1082.89, 1.16227
BLOSC_rho_H__, BLOSC_, 0, 0, 0, inf, 6.82796e+09, 172.277, 2059.28, 1.34869
BLOSC_rho_He__, BLOSC_, 0, 0, 0, inf, 2.1562e+09, 169.672, 2295.05, 1.33907
BLOSC_grav_x__, BLOSC_, 0, 0, 0, inf, 34832.8, 161.136, 1941.9, 1.26982
SZ_grav_x__abs0.01, SZ_abs_0.01_, 0.00999993, 0.00999993, 3.32054e-05, 135.628, 34832.8, 77.549, 45.5583, 2.219
SZ_grav_x__abs0.1, SZ_abs_0.1_, 0.0999994, 0.0999964, 0.00332917, 115.616, 34832.8, 85.3126, 78.4071, 2.92712
SZ_grav_x__abs0.5, SZ_abs_0.5_, 0.5, 0.499965, 0.0830886, 101.644, 34832.8, 88.6891, 128.868, 3.7213
SZ_grav_x__abs1.0, SZ_abs_1.0_, 1, 0.99998, 0.332314, 95.6243, 34832.8, 88.8083, 136.67, 4.21461
SZ_grav_x__abs5.0, SZ_abs_5.0_, 5, 4.99977, 8.32804, 81.6343, 34832.8, 84.8459, 148.204, 6.0841
zfp_grav_x__abs0.01, zfp_abs_0.01_, 0.00390625, 0.00179765, 1.21184e-07, 160.005, 34832.8, 101.129, 132.785, 1.6449
zfp_grav_x__abs0.1, zfp_abs_0.1_, 0.0186768, 0.0143203, 7.52535e-06, 142.074, 34832.8, 108.726, 147.885, 1.94481
zfp_grav_x__abs0.5, zfp_abs_0.5_, 0.146484, 0.102354, 0.000477104, 124.054, 34832.8, 117.665, 166.688, 2.37847
zfp_grav_x__abs1.0, zfp_abs_1.0_, 0.308167, 0.216967, 0.00190814, 118.034, 34832.8, 120.963, 174.32, 2.56945
zfp_grav_x__abs5.0, zfp_abs_5.0_, 1.19434, 0.868367, 0.0305265, 105.993, 34832.8, 128.601, 191.798, 3.06102

