compressor_name,tolerance,bits,abs,window-size,pcnt,Compressor_field__params, absolute_error, relative_error, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio,FILE_0,FILE_1,FILE_2,FILE_3,FILE_4,FILE_5,FILE_6,FILE_7,FILE_8,FILE_9
SZ,1e-07,nan,nan,nan,nan,SZ_x__tolerance1e-07,224.0,1.0,25.8761,54.5263,3.61516,22.1046,47.1408,1.9603599999999999,spectrum_1.png,spectrum_ratio_1.png,halo_1.png,halo_ratio_1.png,halo_ratio_zoom_1.png,halo_abs_1.png,halo_diff_1.png,m000.full.mpicosmo.499_SZ_x_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_tolerance1e-07_hist.png
SZ,1e-06,nan,nan,nan,nan,SZ_x__tolerance1e-06,0.00012207,2.86103e-06,38.5478,67.1171,3.182,24.485,19.2609,2.38633,spectrum_2.png,spectrum_ratio_2.png,halo_2.png,halo_ratio_2.png,halo_ratio_zoom_2.png,halo_abs_2.png,halo_diff_2.png,m000.full.mpicosmo.499_SZ_x_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_tolerance1e-06_hist.png
SZ,1e-05,nan,nan,nan,nan,SZ_x__tolerance1e-05,0.00241089,9.47866e-06,44.0317,38.4674,2.24588,35.4242,22.826999999999998,3.8101,spectrum_3.png,spectrum_ratio_3.png,halo_3.png,halo_ratio_3.png,halo_ratio_zoom_3.png,halo_abs_3.png,halo_diff_3.png,m000.full.mpicosmo.499_SZ_x_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_tolerance1e-05_hist.png
SZ,0.0001,nan,nan,nan,nan,SZ_x__tolerance0.0001,0.0254364,9.97101e-05,46.2148,68.0233,2.17295,33.344,32.9676,6.48684,spectrum_4.png,spectrum_ratio_4.png,halo_4.png,halo_ratio_4.png,halo_ratio_zoom_4.png,halo_abs_4.png,halo_diff_4.png,m000.full.mpicosmo.499_SZ_x_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_tolerance0.0001_hist.png
SZ,0.001,nan,nan,nan,nan,SZ_x__tolerance0.001,0.255783,0.000999547,49.6546,112.435,2.0635,36.5846,53.7306,16.5391,spectrum_5.png,spectrum_ratio_5.png,halo_5.png,halo_ratio_5.png,halo_ratio_zoom_5.png,halo_abs_5.png,halo_diff_5.png,m000.full.mpicosmo.499_SZ_x_absolute_error_tolerance0.001_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_tolerance0.001_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_tolerance0.001_hist.png
BigCrunch,1e-07,nan,nan,nan,nan,BigCrunch_x__tolerance1e-07,1.52588e-05,1.1920899999999999e-07,7.7589,35.2509,13.325999999999999,6.20679,22.4543,1.97985,spectrum_7.png,spectrum_ratio_7.png,halo_7.png,halo_ratio_7.png,halo_ratio_zoom_7.png,halo_abs_7.png,halo_diff_7.png,m000.full.mpicosmo.499_BigCrunch_x_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_BigCrunch_y_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_BigCrunch_z_absolute_error_tolerance1e-07_hist.png
BigCrunch,1e-06,nan,nan,nan,nan,BigCrunch_x__tolerance1e-06,0.00012207,9.53674e-07,9.05087,43.6662,11.107999999999999,7.16241,25.7587,2.59533,spectrum_8.png,spectrum_ratio_8.png,halo_8.png,halo_ratio_8.png,halo_ratio_zoom_8.png,halo_abs_8.png,halo_diff_8.png,m000.full.mpicosmo.499_BigCrunch_x_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_BigCrunch_y_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_BigCrunch_z_absolute_error_tolerance1e-06_hist.png
BigCrunch,1e-05,nan,nan,nan,nan,BigCrunch_x__tolerance1e-05,0.0009765619999999999,7.6293899999999995e-06,10.3094,51.978,9.852139999999999,7.86515,30.6326,3.42981,spectrum_9.png,spectrum_ratio_9.png,halo_9.png,halo_ratio_9.png,halo_ratio_zoom_9.png,halo_abs_9.png,halo_diff_9.png,m000.full.mpicosmo.499_BigCrunch_x_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_BigCrunch_y_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_BigCrunch_z_absolute_error_tolerance1e-05_hist.png
BigCrunch,0.0001,nan,nan,nan,nan,BigCrunch_x__tolerance0.0001,0.0078125,6.10352e-05,11.8566,67.6304,9.495519999999999,8.73493,34.4767,5.05552,spectrum_10.png,spectrum_ratio_10.png,halo_10.png,halo_ratio_10.png,halo_ratio_zoom_10.png,halo_abs_10.png,halo_diff_10.png,m000.full.mpicosmo.499_BigCrunch_x_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_BigCrunch_y_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_BigCrunch_z_absolute_error_tolerance0.0001_hist.png
BigCrunch,0.001,nan,nan,nan,nan,BigCrunch_x__tolerance0.001,0.125,0.0009765619999999999,14.9211,112.404,7.3752699999999995,10.376,49.8497,13.552999999999999,spectrum_11.png,spectrum_ratio_11.png,halo_11.png,halo_ratio_11.png,halo_ratio_zoom_11.png,halo_abs_11.png,halo_diff_11.png,m000.full.mpicosmo.499_BigCrunch_x_absolute_error_tolerance0.001_hist.png,m000.full.mpicosmo.499_BigCrunch_y_absolute_error_tolerance0.001_hist.png,m000.full.mpicosmo.499_BigCrunch_z_absolute_error_tolerance0.001_hist.png
fpzip,nan,18.0,nan,nan,nan,fpzip_x__bits18,0.24998499999999998,0.0019492,26.7684,30.0558,3.97718,19.8907,23.3951,13.9371,spectrum_13.png,spectrum_ratio_13.png,halo_13.png,halo_ratio_13.png,halo_ratio_zoom_13.png,halo_abs_13.png,halo_diff_13.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits18_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits18_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits18_hist.png
fpzip,nan,19.0,nan,nan,nan,fpzip_x__bits19,0.12498499999999998,0.0009754910000000001,24.9827,27.4649,4.11546,18.8491,21.7431,10.0714,spectrum_14.png,spectrum_ratio_14.png,halo_14.png,halo_ratio_14.png,halo_ratio_zoom_14.png,halo_abs_14.png,halo_diff_14.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits19_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits19_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits19_hist.png
fpzip,nan,20.0,nan,nan,nan,fpzip_x__bits20,0.0624847,0.00048792400000000004,23.2987,25.5017,4.29734,17.9612,21.8225,7.7759100000000005,spectrum_15.png,spectrum_ratio_15.png,halo_15.png,halo_ratio_15.png,halo_ratio_zoom_15.png,halo_abs_15.png,halo_diff_15.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits20_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits20_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits20_hist.png
fpzip,nan,21.0,nan,nan,nan,fpzip_x__bits21,0.031234699999999997,0.00024396200000000002,22.0687,24.5177,4.40184,17.5303,21.6002,6.2899400000000005,spectrum_16.png,spectrum_ratio_16.png,halo_16.png,halo_ratio_16.png,halo_ratio_zoom_16.png,halo_abs_16.png,halo_diff_16.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits21_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits21_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits21_hist.png
fpzip,nan,22.0,nan,nan,nan,fpzip_x__bits22,0.0156097,0.000121936,21.2485,23.7571,4.4259900000000005,17.5601,21.1791,5.26635,spectrum_17.png,spectrum_ratio_17.png,halo_17.png,halo_ratio_17.png,halo_ratio_zoom_17.png,halo_abs_17.png,halo_diff_17.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits22_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits22_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits22_hist.png
fpzip,nan,23.0,nan,nan,nan,fpzip_x__bits23,0.00779724,6.09122e-05,20.408,22.3685,4.62204,16.8354,20.4856,4.5246,spectrum_18.png,spectrum_ratio_18.png,halo_18.png,halo_ratio_18.png,halo_ratio_zoom_18.png,halo_abs_18.png,halo_diff_18.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits23_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits23_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits23_hist.png
fpzip,nan,24.0,nan,nan,nan,fpzip_x__bits24,0.00389099,3.0397399999999998e-05,19.8361,22.6707,4.6723300000000005,16.8,20.3092,3.9646,spectrum_19.png,spectrum_ratio_19.png,halo_19.png,halo_ratio_19.png,halo_ratio_zoom_19.png,halo_abs_19.png,halo_diff_19.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits24_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits24_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits24_hist.png
fpzip,nan,25.0,nan,nan,nan,fpzip_x__bits25,0.00193787,1.5139400000000001e-05,19.5146,22.0701,4.73369,17.3545,19.8877,3.52757,spectrum_20.png,spectrum_ratio_20.png,halo_20.png,halo_ratio_20.png,halo_ratio_zoom_20.png,halo_abs_20.png,halo_diff_20.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits25_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits25_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits25_hist.png
