compressor_name,tolerance,bits,abs,window-size,pcnt,Compressor_field__params, absolute_error, relative_error, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio,FILE_0,FILE_1,FILE_2,FILE_3,FILE_4,FILE_5,FILE_6,FILE_7,FILE_8,FILE_9
fpzip,nan,26.0,nan,nan,nan,fpzip_x__bits26,0.000961304,7.510130000000001e-06,19.0326,22.0714,4.8892,16.8021,20.5245,3.1772,spectrum_21.png,spectrum_ratio_21.png,halo_21.png,halo_ratio_21.png,halo_ratio_zoom_21.png,halo_abs_21.png,halo_diff_21.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits26_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits26_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits26_hist.png
fpzip,nan,27.0,nan,nan,nan,fpzip_x__bits27,0.00047302199999999997,3.6954699999999996e-06,18.7014,21.6711,4.90264,16.0381,20.0715,2.89012,spectrum_22.png,spectrum_ratio_22.png,halo_22.png,halo_ratio_22.png,halo_ratio_zoom_22.png,halo_abs_22.png,halo_diff_22.png,m000.full.mpicosmo.499_fpzip_x_absolute_error_bits27_hist.png,m000.full.mpicosmo.499_fpzip_y_absolute_error_bits27_hist.png,m000.full.mpicosmo.499_fpzip_z_absolute_error_bits27_hist.png
SZ,nan,nan,0.001,nan,nan,SZ_x__abs0.001,0.000999998,0.000999998,62.6396,40.3625,1.61466,50.2712,37.711999999999996,3.97563,spectrum_23.png,spectrum_ratio_23.png,halo_23.png,halo_ratio_23.png,halo_ratio_zoom_23.png,halo_abs_23.png,halo_diff_23.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.001_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.001_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.001_hist.png
SZ,nan,nan,0.002,nan,nan,SZ_x__abs0.002,0.002,0.002,62.8091,45.4479,1.61981,47.8957,42.5721,4.5464400000000005,spectrum_24.png,spectrum_ratio_24.png,halo_24.png,halo_ratio_24.png,halo_ratio_zoom_24.png,halo_abs_24.png,halo_diff_24.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.002_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.002_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.002_hist.png
SZ,nan,nan,0.003,nan,nan,SZ_x__abs0.003,0.00299999,0.00299999,63.0998,50.0593,1.61863,44.731,46.4294,4.93142,spectrum_25.png,spectrum_ratio_25.png,halo_25.png,halo_ratio_25.png,halo_ratio_zoom_25.png,halo_abs_25.png,halo_diff_25.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.003_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.003_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.003_hist.png
SZ,nan,nan,0.004,nan,nan,SZ_x__abs0.004,0.00399999,0.00399999,63.5458,53.8204,1.5782100000000001,48.8778,49.6503,5.29866,spectrum_26.png,spectrum_ratio_26.png,halo_26.png,halo_ratio_26.png,halo_ratio_zoom_26.png,halo_abs_26.png,halo_diff_26.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.004_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.004_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.004_hist.png
SZ,nan,nan,0.005,nan,nan,SZ_x__abs0.005,0.005,0.005,63.9996,57.0074,1.59742,46.6834,52.5163,5.59269,spectrum_27.png,spectrum_ratio_27.png,halo_27.png,halo_ratio_27.png,halo_ratio_zoom_27.png,halo_abs_27.png,halo_diff_27.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.005_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.005_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.005_hist.png
SZ,nan,nan,0.006,nan,nan,SZ_x__abs0.006,0.006,0.006,64.2924,62.3679,1.6103,48.402,55.2273,5.846480000000001,spectrum_28.png,spectrum_ratio_28.png,halo_28.png,halo_ratio_28.png,halo_ratio_zoom_28.png,halo_abs_28.png,halo_diff_28.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.006_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.006_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.006_hist.png
SZ,nan,nan,0.006999999999999999,nan,nan,SZ_x__abs0.007,0.00699998,0.00699998,62.4548,63.0677,1.5851899999999999,45.8573,57.7213,6.08378,spectrum_29.png,spectrum_ratio_29.png,halo_29.png,halo_ratio_29.png,halo_ratio_zoom_29.png,halo_abs_29.png,halo_diff_29.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.007_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.007_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.007_hist.png
SZ,nan,nan,0.008,nan,nan,SZ_x__abs0.008,0.00799999,0.00799999,65.3149,66.5833,1.56425,48.8149,59.7067,6.33437,spectrum_30.png,spectrum_ratio_30.png,halo_30.png,halo_ratio_30.png,halo_ratio_zoom_30.png,halo_abs_30.png,halo_diff_30.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.008_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.008_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.008_hist.png
SZ,nan,nan,0.009000000000000001,nan,nan,SZ_x__abs0.009000000000000001,0.00899999,0.00899999,65.3184,68.2491,1.57805,48.3543,62.4902,6.555389999999999,spectrum_31.png,spectrum_ratio_31.png,halo_31.png,halo_ratio_31.png,halo_ratio_zoom_31.png,halo_abs_31.png,halo_diff_31.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.009000000000000001_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.009000000000000001_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.009000000000000001_hist.png
SZ,nan,nan,0.01,nan,nan,SZ_x__abs0.01,0.00999999,0.00999999,65.3806,71.2311,1.56982,46.2259,64.8398,6.773219999999999,spectrum_32.png,spectrum_ratio_32.png,halo_32.png,halo_ratio_32.png,halo_ratio_zoom_32.png,halo_abs_32.png,halo_diff_32.png,m000.full.mpicosmo.499_SZ_x_absolute_error_abs0.01_hist.png,m000.full.mpicosmo.499_SZ_y_absolute_error_abs0.01_hist.png,m000.full.mpicosmo.499_SZ_z_absolute_error_abs0.01_hist.png
zfp,nan,nan,0.001,nan,nan,zfp_x__abs0.001,0.000602722,0.000596046,81.9173,78.4134,1.2238,53.923,68.2795,1.8351,spectrum_33.png,spectrum_ratio_33.png,halo_33.png,halo_ratio_33.png,halo_ratio_zoom_33.png,halo_abs_33.png,halo_diff_33.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.001_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.001_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.001_hist.png
zfp,nan,nan,0.002,nan,nan,zfp_x__abs0.002,0.000602722,0.000596046,81.9846,78.2644,1.53534,47.1062,67.8805,1.8351,spectrum_34.png,spectrum_ratio_34.png,halo_34.png,halo_ratio_34.png,halo_ratio_zoom_34.png,halo_abs_34.png,halo_diff_34.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.002_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.002_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.002_hist.png
zfp,nan,nan,0.003,nan,nan,zfp_x__abs0.003,0.000602722,0.000596046,81.9234,78.2601,1.47191,51.5782,68.5737,1.8351,spectrum_35.png,spectrum_ratio_35.png,halo_35.png,halo_ratio_35.png,halo_ratio_zoom_35.png,halo_abs_35.png,halo_diff_35.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.003_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.003_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.003_hist.png
zfp,nan,nan,0.004,nan,nan,zfp_x__abs0.004,0.000602722,0.000596046,82.0035,78.1305,1.48635,48.7779,68.6314,1.8351,spectrum_36.png,spectrum_ratio_36.png,halo_36.png,halo_ratio_36.png,halo_ratio_zoom_36.png,halo_abs_36.png,halo_diff_36.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.004_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.004_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.004_hist.png
zfp,nan,nan,0.005,nan,nan,zfp_x__abs0.005,0.000602722,0.000596046,81.8501,78.3219,1.42475,49.3849,67.937,1.8351,spectrum_37.png,spectrum_ratio_37.png,halo_37.png,halo_ratio_37.png,halo_ratio_zoom_37.png,halo_abs_37.png,halo_diff_37.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.005_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.005_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.005_hist.png
zfp,nan,nan,0.006,nan,nan,zfp_x__abs0.006,0.000602722,0.000596046,80.4912,78.1534,1.51406,47.166000000000004,67.7069,1.8351,spectrum_38.png,spectrum_ratio_38.png,halo_38.png,halo_ratio_38.png,halo_ratio_zoom_38.png,halo_abs_38.png,halo_diff_38.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.006_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.006_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.006_hist.png
zfp,nan,nan,0.006999999999999999,nan,nan,zfp_x__abs0.007,0.000602722,0.000596046,79.6537,78.0391,1.4369,51.0516,68.874,1.8351,spectrum_39.png,spectrum_ratio_39.png,halo_39.png,halo_ratio_39.png,halo_ratio_zoom_39.png,halo_abs_39.png,halo_diff_39.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.007_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.007_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.007_hist.png
zfp,nan,nan,0.008,nan,nan,zfp_x__abs0.008,0.000602722,0.000596046,81.5241,77.9143,1.4725,47.6325,67.7259,1.8351,spectrum_40.png,spectrum_ratio_40.png,halo_40.png,halo_ratio_40.png,halo_ratio_zoom_40.png,halo_abs_40.png,halo_diff_40.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.008_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.008_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.008_hist.png
zfp,nan,nan,0.009000000000000001,nan,nan,zfp_x__abs0.009000000000000001,0.000602722,0.000596046,80.7444,77.9452,1.47108,50.3768,68.2035,1.8351,spectrum_41.png,spectrum_ratio_41.png,halo_41.png,halo_ratio_41.png,halo_ratio_zoom_41.png,halo_abs_41.png,halo_diff_41.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.009000000000000001_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.009000000000000001_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.009000000000000001_hist.png
zfp,nan,nan,0.01,nan,nan,zfp_x__abs0.01,0.000602722,0.000596046,81.7185,77.9453,1.4196,48.4063,66.8911,1.8351,spectrum_42.png,spectrum_ratio_42.png,halo_42.png,halo_ratio_42.png,halo_ratio_zoom_42.png,halo_abs_42.png,halo_diff_42.png,m000.full.mpicosmo.499_zfp_x_absolute_error_abs0.01_hist.png,m000.full.mpicosmo.499_zfp_y_absolute_error_abs0.01_hist.png,m000.full.mpicosmo.499_zfp_z_absolute_error_abs0.01_hist.png
