Compressor_field__params, relative_error, absolute_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 0, 0, inf, 66.4692, 597.17, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 0, 0, inf, 129.33, 959.54, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 0, 0, inf, 92.444, 720.038, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 0, 0, inf, 166.074, 1032.48, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 0, 0, inf, 66.8291, 486.499, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 0, 0, inf, 65.5565, 484.468, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits32, 0, 0, 0, inf, 11.636, 17.9901, 1.25238,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits32, 0, 0, 0, inf, 12.4963, 16.4194, 1.12853,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits32, 0, 0, 0, inf, 14.1583, 18.2298, 1.36887,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits32, 0, 0, 0, inf, 14.4659, 17.7145, 1.44105,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits32, 0, 0, 0, inf, 14.4485, 18.3262, 1.43385,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits32, 0, 0, 0, inf, 14.1629, 17.7112, 1.39126,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits28, 1.78814e-06, 0.0351562, 1.90632e-10, 194.225, 13.1051, 18.099, 1.4849,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits28, 1.78814e-06, 0.00732422, 4.1079e-11, 181.714, 13.9846, 17.6118, 1.31389,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits28, 1.78814e-06, 3.75, 7.07733e-05, 170.652, 15.8345, 19.5117, 1.65162,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits28, 1.78814e-06, 30, 12.246, 139.574, 16.2126, 20.2143, 1.75788,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits28, 1.78814e-06, 52, 14.4025, 138.91, 16.3067, 20.0259, 1.74717,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
