Compressor_field__params, relative_error, psnr, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio
BLOSC_baryon_density__, 0, inf, 124.708, 802.807, 0.0749751, 53.351, 441.587, 1.20748
BLOSC_dark_matter_density__, 0, inf, 103.897, 747.755, 0.0697542, 57.3442, 377.624, 1.09332
BLOSC_temperature__, 0, inf, 149.02, 1871.89, 0.0516876, 77.388, 763.08, 1.26466
BLOSC_velocity_x__, 0, inf, 143.677, 1499.22, 0.0514978, 77.6732, 646.748, 1.29891
BLOSC_velocity_y__, 0, inf, 141.415, 1545.4, 0.0527008, 75.9001, 627.457, 1.29449
BLOSC_velocity_z__, 0, inf, 131.368, 1293.65, 0.0556153, 71.9227, 545.653, 1.26498
SZ_baryon_density__pw_rel0.01, 0.0099996, 114.382, 95.5604, 149.378, 0.107214, 37.3084, 72.9362, 5.00764
SZ_dark_matter_density__pw_rel0.01, 0.00999988, 104.657, 91.3661, 158.805, 0.109305, 36.5949, 58.2424, 3.47192
SZ_temperature__pw_rel0.01, 0.00999976, 90.0789, 101.439, 168.201, 0.102324, 39.0916, 60.8505, 6.01254
SZ_velocity_x__pw_rel0.01, 0.00999988, 62.5617, 104.677, 166.853, 0.0678179, 58.9815, 91.3362, 6.16108
SZ_velocity_y__pw_rel0.01, 0.00999988, 61.5339, 102.643, 164.438, 0.103862, 38.5127, 65.3074, 6.00307
SZ_velocity_z__pw_rel0.01, 0.00999991, 63.6345, 99.8752, 168.456, 0.109597, 36.4974, 86.6827, 5.19884
fpzip_baryon_density__bits18, 0.0019492, 130.787, 19.8638, 23.6335, 0.349822, 11.4344, 16.18, 2.76361
fpzip_dark_matter_density__bits18, 0.0019492, 120.972, 18.4055, 22.6225, 0.318313, 12.5662, 15.6853, 2.30224
fpzip_temperature__bits18, 0.0019492, 106.309, 20.8048, 24.3962, 0.286795, 13.9472, 16.7985, 3.3668
fpzip_velocity_x__bits18, 0.0019492, 78.8456, 22.2541, 25.2231, 0.281047, 14.2325, 16.8483, 3.88408
fpzip_velocity_y__bits18, 0.0019492, 77.779, 22.2049, 25.3311, 0.265244, 15.0805, 17.2649, 3.80007
fpzip_velocity_z__bits18, 0.0019492, 79.8986, 21.5081, 24.9507, 0.214353, 18.6608, 22.2991, 3.53378
fpzip_baryon_density__bits19, 0.000975491, 136.558, 19.4816, 23.39, 0.364676, 10.9686, 16.0288, 2.54381
fpzip_dark_matter_density__bits19, 0.000975491, 127.152, 17.9662, 21.8693, 0.376304, 10.6297, 15.1809, 2.14764
fpzip_temperature__bits19, 0.000975491, 112.33, 20.3522, 24.017, 0.214897, 18.6136, 22.5561, 3.04613
fpzip_velocity_x__bits19, 0.000975491, 84.8645, 21.7738, 24.8256, 0.207497, 19.2774, 22.6416, 3.46384
fpzip_velocity_y__bits19, 0.000975491, 83.7974, 21.7301, 24.892, 0.290336, 13.7772, 16.3425, 3.39685
fpzip_velocity_z__bits19, 0.000975491, 85.9164, 21.156, 24.5495, 0.219089, 18.2574, 21.7718, 3.18232
