Compressor_field__params, name, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, blosc_, 0, 0, 0, inf, 71011.8, 101.149, 709.27, 1.21765,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, blosc_, 0, 0, 0, inf, 7807.16, 89.9998, 720.278, 1.07998,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, blosc_, 0, 0, 0, inf, 2.86765e+06, 115.242, 1131.77, 1.26476,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, blosc_, 0, 0, 0, inf, 3.33206e+07, 114.99, 1110.92, 1.30418,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, blosc_, 0, 0, 0, inf, 3.34767e+07, 114.833, 848.077, 1.30004,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, blosc_, 0, 0, 0, inf, 3.38671e+07, 127.172, 957.878, 1.26914,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits18, fpzip_, 99.75, 0.0019492, 0.000289814, 132.405, 71011.8, 14.9028, 17.4676, 4.84592,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits18, fpzip_, 7.93262, 0.0019492, 4.83983e-05, 121.002, 7807.16, 13.116, 15.432, 2.43152,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits12, fpzip_, 260733, 0.111111, 309696, 74.2412, 2.86765e+06, 20.6488, 22.5968, 17.4064,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits14, fpzip_, 524242, 0.0303029, 3.55164e+09, 54.95, 3.33206e+07, 19.1573, 20.7355, 13.1053,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits14, fpzip_, 524286, 0.0303029, 4.18142e+09, 54.2816, 3.34767e+07, 18.9479, 21.0677, 12.9575,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits14, fpzip_, 1.00981e+06, 0.0303029, 3.20474e+09, 55.5376, 3.38671e+07, 16.9547, 20.8707, 12.8088,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.01, sz_pwrel_, 407.438, 0.00999264, 0.0107701, 116.704, 71011.8, 67.2606, 111.954, 10.4293,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.01, sz_pwrel_, 55.8506, 0.00999987, 0.00202502, 104.786, 7807.16, 66.1807, 109.383, 3.72858,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.25, sz_pwrel_, 589480, 0.249699, 1.93649e+06, 66.2804, 2.86765e+06, 75.9184, 125.968, 34.0033,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.05, sz_pwrel_, 1.40165e+06, 0.0498868, 1.45518e+10, 48.8251, 3.33206e+07, 68.7717, 118.788, 17.1844,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.05, sz_pwrel_, 1.52577e+06, 0.0498839, 1.71763e+10, 48.1456, 3.34767e+07, 70.3503, 117.628, 17.0714,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.05, sz_pwrel_, 1.58395e+06, 0.0498865, 1.30924e+10, 49.4254, 3.38671e+07, 69.6873, 117.694, 16.6943,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs1, sz_abs_run1_, 1, 1, 0.0437134, 110.62, 71011.8, 73.253, 132.005, 104.771,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs1, sz_abs_run1_, 1, 1, 0.115124, 87.2382, 7807.16, 52.6201, 127.443, 42.3498,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs1000, sz_abs_run1_, 1000, 1.09627, 148582, 77.4308, 2.86765e+06, 64.8074, 137.063, 45.6162,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs1000000, sz_abs_run1_, 1e+06, 191666, 1.51313e+10, 48.6555, 3.33206e+07, 74.5321, 144.073, 268.226,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs1000000, sz_abs_run1_, 1e+06, 758335, 1.5356e+10, 48.6321, 3.34767e+07, 74.764, 144.329, 263.414,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs1000000, sz_abs_run1_, 999999, 375001, 1.48259e+10, 48.8853, 3.38671e+07, 75.9779, 142.561, 245.351,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs2, sz_abs_run2_, 2, 1.99999, 0.0933424, 107.326, 71011.8, 71.7648, 130.679, 162.659,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs2, sz_abs_run2_, 2, 2, 0.245797, 83.9441, 7807.16, 64.9895, 130.881, 71.9075,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
