Compressor_field__params, relative_error, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_baryon_density__, 0, inf, 187.882, 830.637, 1.21897
BLOSC_dark_matter_density__, 0, inf, 147.337, 723.044, 1.07926
BLOSC_temperature__, 0, inf, 192.053, 914.763, 1.266
BLOSC_velocity_x__, 0, inf, 189.198, 745.328, 1.32819
BLOSC_velocity_y__, 0, inf, 187.383, 743.095, 1.30914
BLOSC_velocity_z__, 0, inf, 186.329, 746.842, 1.27984
SZ_baryon_density__pw_rel0.01, 0.00999314, 126.854, 86.191, 116.26, 10.3956
SZ_dark_matter_density__pw_rel0.01, 0.00999996, 110.767, 72.0818, 104.071, 3.74002
SZ_temperature__pw_rel0.01, 0.00999693, 98.2451, 89.9161, 123.092, 11.9182
SZ_velocity_x__pw_rel0.01, 0.0099994, 62.4736, 82.8017, 117.282, 12.3668
SZ_velocity_y__pw_rel0.01, 0.00999973, 64.302, 82.7072, 117.817, 11.495
SZ_velocity_z__pw_rel0.01, 0.00999991, 64.5381, 82.8731, 118.622, 11.3281
SZ_baryon_density__pw_rel0.02, 0.0199842, 120.483, 90.7482, 118.734, 13.459
SZ_dark_matter_density__pw_rel0.02, 0.0199985, 104.805, 75.9987, 106.328, 4.2339
SZ_temperature__pw_rel0.02, 0.0199841, 92.0307, 91.3087, 122.315, 14.8312
SZ_velocity_x__pw_rel0.02, 0.0199842, 56.4978, 81.9338, 120.545, 14.6727
SZ_velocity_y__pw_rel0.02, 0.0199842, 58.3244, 83.6219, 120.607, 13.5815
SZ_velocity_z__pw_rel0.02, 0.0199842, 58.5603, 81.3736, 117.989, 13.3653
SZ_baryon_density__pw_rel0.04, 0.0399492, 113.523, 88.2439, 115.047, 16.0992
SZ_dark_matter_density__pw_rel0.04, 0.0399737, 98.8881, 77.0783, 106.758, 4.86717
SZ_temperature__pw_rel0.04, 0.0399502, 85.9892, 84.6015, 118.471, 17.2343
SZ_velocity_x__pw_rel0.04, 0.0399499, 50.549, 81.3005, 120.723, 17.0532
SZ_velocity_y__pw_rel0.04, 0.0399501, 52.3745, 82.2392, 120.622, 15.6135
SZ_velocity_z__pw_rel0.04, 0.03995, 52.6112, 81.6962, 120.719, 15.2576
SZ_baryon_density__pw_rel0.06, 0.0599603, 110.748, 84.9002, 117.124, 17.5857
SZ_dark_matter_density__pw_rel0.06, 0.059989, 95.4374, 78.0313, 106.986, 5.32917
SZ_temperature__pw_rel0.06, 0.0599607, 82.4794, 85.8642, 121.189, 19.1604
SZ_velocity_x__pw_rel0.06, 0.0599624, 47.0513, 82.6303, 121.964, 19.0332
SZ_velocity_y__pw_rel0.06, 0.0599624, 48.881, 82.5308, 118.104, 17.2749
SZ_velocity_z__pw_rel0.06, 0.0599621, 49.115, 81.9345, 116.21, 16.7638
SZ_baryon_density__pw_rel0.08, 0.0798869, 109.032, 84.8587, 118.212, 18.5948
SZ_dark_matter_density__pw_rel0.08, 0.0799855, 92.9361, 79.1095, 101.45, 5.7092
SZ_temperature__pw_rel0.08, 0.079975, 80.0747, 85.8, 121.907, 21.6011
SZ_velocity_x__pw_rel0.08, 0.0799757, 44.6311, 83.6889, 121.835, 21.1426
SZ_velocity_y__pw_rel0.08, 0.0799755, 46.4623, 82.6405, 121.379, 18.8921
SZ_velocity_z__pw_rel0.08, 0.0799755, 46.6984, 83.2382, 120.53, 18.4542
SZ_baryon_density__pw_rel0.1, 0.0997309, 106.03, 85.1793, 118.956, 19.3915
SZ_dark_matter_density__pw_rel0.1, 0.0999363, 91.0483, 79.8208, 104.308, 6.03943
SZ_temperature__pw_rel0.1, 0.0997309, 78.146, 86.7143, 122.394, 23.8568
SZ_velocity_x__pw_rel0.1, 0.0997309, 42.7352, 84.7726, 123.523, 22.3623
SZ_velocity_y__pw_rel0.1, 0.0997309, 44.5696, 83.054, 121.316, 19.9189
SZ_velocity_z__pw_rel0.1, 0.0997309, 44.8024, 82.3964, 121.881, 19.0645
