Compressor_field__params, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
zfp_baryon_density__rel32, 0.00122833, 0.000266969, 4.83896e-13, 220.179, 71011.8, 49.516, 59.424, 1.34737,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel32, 0.000148773, 2.54512e-05, 3.81547e-14, 212.034, 7807.16, 52.8149, 58.3701, 1.17073,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel32, 0.125, 2.80363e-05, 7.29436e-09, 210.521, 2.86765e+06, 63.542, 63.3737, 1.37272,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel32, 1, 0.0149152, 4.44762e-05, 193.973, 3.33206e+07, 58.5861, 65.5565, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel32, 1, 0.0128536, 4.82192e-05, 193.663, 3.34767e+07, 56.4027, 68.607, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel32, 1, 0.00671054, 4.08169e-05, 194.487, 3.38671e+07, 51.6907, 64.4444, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel30, 0.00439453, 0.000605285, 3.98926e-12, 211.018, 71011.8, 60.124, 66.7038, 1.47127,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel30, 0.00038147, 6.40005e-05, 3.15059e-13, 202.866, 7807.16, 86.769, 94.4496, 1.26315,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__rel30, 0.25, 5.47268e-05, 9.58399e-08, 199.335, 2.86765e+06, 75.5185, 103.104, 1.50154,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__rel30, 2, 0.0280535, 0.00298118, 175.71, 3.33206e+07, 71.6064, 102.623, 1.57408,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__rel30, 2, 0.042468, 0.00340325, 175.176, 3.34767e+07, 78.0411, 101.504, 1.57935,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__rel30, 2, 0.034239, 0.00270524, 176.274, 3.38671e+07, 75.7799, 101.843, 1.57151,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__rel28, 0.0178223, 0.00255966, 6.14923e-11, 199.138, 71011.8, 75.5789, 108.056, 1.62026,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__rel28, 0.00149536, 0.00029888, 4.55276e-12, 191.267, 7807.16, 85.6238, 102.545, 1.37142,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
