compressor_name,tolerance,bits,abs,window-size,pcnt,Compressor_field__params, absolute_error, relative_error, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio,FILE_0,FILE_1,FILE_2,FILE_3,FILE_4,FILE_5,FILE_6,FILE_7,FILE_8,FILE_9,FILE_10,FILE_11,FILE_12,FILE_13
SZ,1e-07,nan,nan,nan,nan,SZ_vx__tolerance1e-07,0.00366211,6.41798e-05,26.8201,62.9993,3.83675,22.5411,43.5704,1.2910700000000002,spectrum_1.png,spectrum_ratio_1.png,halo_1.png,halo_ratio_1.png,halo_ratio_zoom_1.png,halo_abs_1.png,halo_diff_1.png,halo_veldisp_1.png,halo_ke_1.png,halo_angmom_z_1.png,halo_diff_angmom_z_1.png,m000.full.mpicosmo.499_SZ_vx_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_SZ_vy_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_SZ_vz_absolute_error_tolerance1e-07_hist.png
SZ,1e-06,nan,nan,nan,nan,SZ_vx__tolerance1e-06,0.0012207000000000001,6.3701e-07,26.0217,64.0615,3.8184,22.6494,58.8918,1.23898,spectrum_2.png,spectrum_ratio_2.png,halo_2.png,halo_ratio_2.png,halo_ratio_zoom_2.png,halo_abs_2.png,halo_diff_2.png,halo_veldisp_2.png,halo_ke_2.png,halo_angmom_z_2.png,halo_diff_angmom_z_2.png,m000.full.mpicosmo.499_SZ_vx_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_SZ_vy_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_SZ_vz_absolute_error_tolerance1e-06_hist.png
SZ,1e-05,nan,nan,nan,nan,SZ_vx__tolerance1e-05,0.029052699999999997,8.98227e-06,30.8044,19.6195,3.24225,23.7739,17.525,1.63552,spectrum_3.png,spectrum_ratio_3.png,halo_3.png,halo_ratio_3.png,halo_ratio_zoom_3.png,halo_abs_3.png,halo_diff_3.png,halo_veldisp_3.png,halo_ke_3.png,halo_angmom_z_3.png,halo_diff_angmom_z_3.png,m000.full.mpicosmo.499_SZ_vx_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_SZ_vy_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_SZ_vz_absolute_error_tolerance1e-05_hist.png
SZ,0.0001,nan,nan,nan,nan,SZ_vx__tolerance0.0001,0.35180700000000004,9.904770000000001e-05,35.7905,19.975,2.6937,28.9427,17.5273,2.18945,spectrum_4.png,spectrum_ratio_4.png,halo_4.png,halo_ratio_4.png,halo_ratio_zoom_4.png,halo_abs_4.png,halo_diff_4.png,halo_veldisp_4.png,halo_ke_4.png,halo_angmom_z_4.png,halo_diff_angmom_z_4.png,m000.full.mpicosmo.499_SZ_vx_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_SZ_vy_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_SZ_vz_absolute_error_tolerance0.0001_hist.png
SZ,0.001,nan,nan,nan,nan,SZ_vx__tolerance0.001,3.5268599999999997,0.000999044,42.0319,28.4804,2.33538,35.2779,25.5955,2.8994400000000002,spectrum_5.png,spectrum_ratio_5.png,halo_5.png,halo_ratio_5.png,halo_ratio_zoom_5.png,halo_abs_5.png,halo_diff_5.png,halo_veldisp_5.png,halo_ke_5.png,halo_angmom_z_5.png,halo_diff_angmom_z_5.png,m000.full.mpicosmo.499_SZ_vx_absolute_error_tolerance0.001_hist.png,m000.full.mpicosmo.499_SZ_vy_absolute_error_tolerance0.001_hist.png,m000.full.mpicosmo.499_SZ_vz_absolute_error_tolerance0.001_hist.png
SZ,0.01,nan,nan,nan,nan,SZ_vx__tolerance0.01,34.8196,0.00999885,43.1414,40.7097,2.25402,34.9037,35.0601,4.17264,spectrum_6.png,spectrum_ratio_6.png,halo_6.png,halo_ratio_6.png,halo_ratio_zoom_6.png,halo_abs_6.png,halo_diff_6.png,halo_veldisp_6.png,halo_ke_6.png,halo_angmom_z_6.png,halo_diff_angmom_z_6.png,m000.full.mpicosmo.499_SZ_vx_absolute_error_tolerance0.01_hist.png,m000.full.mpicosmo.499_SZ_vy_absolute_error_tolerance0.01_hist.png,m000.full.mpicosmo.499_SZ_vz_absolute_error_tolerance0.01_hist.png
BigCrunch,1e-07,nan,nan,nan,nan,BigCrunch_vx__tolerance1e-07,0.00024414099999999997,1.1920899999999999e-07,6.87997,25.3989,13.6441,5.79515,16.6193,1.23891,spectrum_7.png,spectrum_ratio_7.png,halo_7.png,halo_ratio_7.png,halo_ratio_zoom_7.png,halo_abs_7.png,halo_diff_7.png,halo_veldisp_7.png,halo_ke_7.png,halo_angmom_z_7.png,halo_diff_angmom_z_7.png,m000.full.mpicosmo.499_BigCrunch_vx_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_BigCrunch_vy_absolute_error_tolerance1e-07_hist.png,m000.full.mpicosmo.499_BigCrunch_vz_absolute_error_tolerance1e-07_hist.png
BigCrunch,1e-06,nan,nan,nan,nan,BigCrunch_vx__tolerance1e-06,0.00195312,9.53674e-07,7.73928,28.0235,13.2357,6.51621,19.7954,1.4659200000000001,spectrum_8.png,spectrum_ratio_8.png,halo_8.png,halo_ratio_8.png,halo_ratio_zoom_8.png,halo_abs_8.png,halo_diff_8.png,halo_veldisp_8.png,halo_ke_8.png,halo_angmom_z_8.png,halo_diff_angmom_z_8.png,m000.full.mpicosmo.499_BigCrunch_vx_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_BigCrunch_vy_absolute_error_tolerance1e-06_hist.png,m000.full.mpicosmo.499_BigCrunch_vz_absolute_error_tolerance1e-06_hist.png
BigCrunch,1e-05,nan,nan,nan,nan,BigCrunch_vx__tolerance1e-05,0.015625,7.6293899999999995e-06,8.45318,32.5885,11.4076,7.03978,20.8628,1.6994799999999999,spectrum_9.png,spectrum_ratio_9.png,halo_9.png,halo_ratio_9.png,halo_ratio_zoom_9.png,halo_abs_9.png,halo_diff_9.png,halo_veldisp_9.png,halo_ke_9.png,halo_angmom_z_9.png,halo_diff_angmom_z_9.png,m000.full.mpicosmo.499_BigCrunch_vx_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_BigCrunch_vy_absolute_error_tolerance1e-05_hist.png,m000.full.mpicosmo.499_BigCrunch_vz_absolute_error_tolerance1e-05_hist.png
BigCrunch,0.0001,nan,nan,nan,nan,BigCrunch_vx__tolerance0.0001,0.125,6.10352e-05,9.32163,37.6613,10.6236,7.5262899999999995,22.5894,2.0215799999999997,spectrum_10.png,spectrum_ratio_10.png,halo_10.png,halo_ratio_10.png,halo_ratio_zoom_10.png,halo_abs_10.png,halo_diff_10.png,halo_veldisp_10.png,halo_ke_10.png,halo_angmom_z_10.png,halo_diff_angmom_z_10.png,m000.full.mpicosmo.499_BigCrunch_vx_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_BigCrunch_vy_absolute_error_tolerance0.0001_hist.png,m000.full.mpicosmo.499_BigCrunch_vz_absolute_error_tolerance0.0001_hist.png
