Compressor_field__params, relative_error, absolute_error, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 0, 66.5055, 552.492, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 0, 52.0458, 445.557, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 0, 68.7152, 660.023, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 0, 66.9624, 475.904, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 0, 92.1717, 685.284, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 0, 65.5902, 479.429, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.01, 0.00224227, 0.00225461, 52.0734, 145.936, 4.57238,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.01, 0.00231312, 0.00232005, 128.523, 159.835, 2.7628,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.01, 2.80363e-05, 0.125, 84.1809, 110.148, 1.61826,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.01, 0.0149152, 1, 66.9935, 95.5309, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.01, 0.0128536, 1, 76.9301, 98.6588, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.01, 0.00671054, 1, 77.011, 99.0166, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
