Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
Isabela_x__window-size:512_tolerance:0.001_pcnt:50, 0.00256348, 4.31687e-07, 111.813, 2.6813, 16.2992, 0.752303, 13.7297, 1.79485
Isabela_y__window-size:512_tolerance:0.001_pcnt:50, 0.00256348, 4.7413e-07, 111.406, 2.44622, 16.1574, 0.725869, 13.397, 1.7593
Isabela_z__window-size:512_tolerance:0.001_pcnt:50, 0.00256348, 5.35328e-07, 110.879, 1.07912, 14.6454, 0.834115, 13.5594, 1.43958
Isabela_x__window-size:1024_tolerance:0.001_pcnt:50, 0.00256348, 3.93484e-07, 112.216, 3.24745, 17.6033, 0.587906, 14.9681, 2.05591
Isabela_y__window-size:1024_tolerance:0.001_pcnt:50, 0.00256348, 4.43382e-07, 111.697, 2.71984, 17.4099, 0.529165, 14.3389, 1.98586
Isabela_z__window-size:1024_tolerance:0.001_pcnt:50, 0.00256348, 5.43566e-07, 110.812, 0.748056, 15.5575, 0.54623, 14.3564, 1.5012
Isabela_x__window-size:2048_tolerance:0.001_pcnt:50, 0.00256348, 3.39892e-07, 112.851, 4.16883, 18.3956, 0.617489, 15.7666, 2.21388
Isabela_y__window-size:2048_tolerance:0.001_pcnt:50, 0.00256348, 4.1677e-07, 111.966, 3.0611, 18.1305, 0.490884, 15.2394, 2.08983
Isabela_z__window-size:2048_tolerance:0.001_pcnt:50, 0.00256348, 5.59634e-07, 110.686, 0.591125, 16.0917, 0.434536, 14.9139, 1.48607
Isabela_x__window-size:4096_tolerance:0.001_pcnt:50, 0.00256348, 2.71119e-07, 113.833, 5.03556, 18.8692, 0.714196, 16.4257, 2.26798
Isabela_y__window-size:4096_tolerance:0.001_pcnt:50, 0.00256348, 4.12106e-07, 112.015, 3.1603, 18.4889, 0.484615, 15.5867, 2.08457
Isabela_z__window-size:4096_tolerance:0.001_pcnt:50, 0.00256348, 5.80397e-07, 110.528, 0.527254, 16.3772, 0.395315, 15.237, 1.46012
Isabela_x__window-size:8192_tolerance:0.001_pcnt:50, 0.00256348, 1.99771e-07, 115.159, 5.31181, 19.0237, 0.889178, 16.7847, 2.23697
Isabela_y__window-size:8192_tolerance:0.001_pcnt:50, 0.00256348, 4.39313e-07, 111.737, 3.03868, 18.5306, 0.488976, 15.8427, 2.00553
Isabela_z__window-size:8192_tolerance:0.001_pcnt:50, 0.00256348, 6.02652e-07, 110.364, 0.518297, 16.4894, 0.401923, 15.4493, 1.44419
Isabela_x__window-size:16384_tolerance:0.001_pcnt:50, 0.00256348, 1.44655e-07, 116.561, 5.34056, 19.0778, 1.14347, 17.2505, 2.1545
Isabela_y__window-size:16384_tolerance:0.001_pcnt:50, 0.00256348, 4.94709e-07, 111.221, 2.78019, 18.4063, 0.477713, 15.8124, 1.88835
Isabela_z__window-size:16384_tolerance:0.001_pcnt:50, 0.00256348, 6.25301e-07, 110.204, 0.554551, 16.6314, 0.43497, 15.5947, 1.43785
Isabela_x__window-size:32768_tolerance:0.001_pcnt:50, 0.00256348, 1.16753e-07, 117.492, 5.08099, 19.0424, 1.44942, 17.509, 2.04955
Isabela_y__window-size:32768_tolerance:0.001_pcnt:50, 0.00256348, 5.65199e-07, 110.643, 2.5144, 18.1676, 0.450802, 15.7356, 1.76016
Isabela_z__window-size:32768_tolerance:0.001_pcnt:50, 0.00256348, 6.47012e-07, 110.056, 0.640503, 16.717, 0.50445, 15.7285, 1.44382
Isabela_x__window-size:65536_tolerance:0.001_pcnt:50, 0.00256348, 1.18155e-07, 117.44, 4.84505, 19.0693, 1.70172, 17.7038, 1.94144
Isabela_y__window-size:65536_tolerance:0.001_pcnt:50, 0.00256348, 6.34926e-07, 110.138, 2.32616, 17.9187, 0.433313, 15.6188, 1.65146
Isabela_z__window-size:65536_tolerance:0.001_pcnt:50, 0.00256348, 6.66903e-07, 109.924, 0.792312, 16.8636, 0.617749, 15.8606, 1.46037
