Compressor_field__params, relative_error, absolute_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
zfp_baryon_density__abs0.01, 0.00224227, 0.00225461, 1.16304e-07, 166.371, 51.9587, 150.143, 4.57238,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.01, 0.00231312, 0.00232005, 1.16464e-07, 147.188, 53.45, 167.479, 2.7628,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.01, 2.80363e-05, 0.125, 1.39663e-07, 197.7, 45.3104, 110.292, 1.61826,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.01, 0.0149152, 1, 4.44762e-05, 193.973, 38.9827, 80.2457, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.01, 0.0128536, 1, 4.82192e-05, 193.663, 37.8499, 98.5673, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.01, 0.00671054, 1, 4.08169e-05, 194.487, 60.1292, 99.1374, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.1, 0.0178627, 0.0187097, 6.70737e-06, 148.761, 61.9781, 108.026, 7.94697,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.1, 0.0195115, 0.0195115, 7.45324e-06, 129.126, 149.571, 200.031, 3.72855,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.1, 2.80363e-05, 0.125, 7.50759e-06, 180.396, 91.8972, 123.255, 1.90751,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.1, 0.0149152, 1, 4.47112e-05, 193.95, 77.147, 99.5506, 1.43595,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
