Compressor_field__params, relative_error, absolute_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
zfp_velocity_y__abs0.1, 0.0128536, 1, 4.84641e-05, 193.641, 77.133, 99.1934, 1.44046,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.1, 0.00936866, 1, 4.10729e-05, 194.46, 76.8978, 99.1833, 1.43413,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.2, 0.0364203, 0.0364203, 2.33287e-05, 143.348, 66.2164, 123.764, 10.2828,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.2, 0.0372346, 0.0372346, 2.98135e-05, 123.106, 157.448, 214.246, 4.22029,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.2, 2.80363e-05, 0.125, 2.98636e-05, 174.399, 94.6565, 128.394, 2.02841,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.2, 0.0149152, 1, 4.67391e-05, 193.757, 77.2741, 100.687, 1.44339,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.2, 0.0214558, 1, 5.05819e-05, 193.455, 77.1715, 99.9756, 1.44814,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.2, 0.0140688, 1, 4.32682e-05, 194.234, 76.9629, 99.717, 1.44217,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.5, 0.139726, 0.139726, 0.000230955, 133.391, 80.7399, 169.494, 19.0928,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.5, 0.148386, 0.15296, 0.000476749, 111.067, 175.381, 250.191, 5.73267,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.5, 7.27794e-05, 0.154785, 0.000476996, 162.365, 101.001, 140.428, 2.3229,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.5, 0.0450858, 1, 0.000192538, 187.609, 77.9822, 101.657, 1.50162,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.5, 0.0846882, 1, 0.000195211, 187.59, 78.0958, 104.412, 1.50536,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.5, 0.0597231, 1, 0.000198031, 187.628, 77.253, 105.338, 1.50407,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs1.0, 0.257171, 0.300316, 0.000680253, 128.7, 88.697, 185.054, 26.6469,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs1.0, 0.290217, 0.290217, 0.00189471, 105.074, 186.917, 274.403, 6.98532,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs1.0, 0.000109465, 0.290039, 0.00190814, 156.344, 104.172, 147.446, 2.50472,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs1.0, 0.0867206, 1, 0.00111086, 179.998, 79.624, 108.346, 1.57032,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs1.0, 0.162138, 1, 0.00108603, 180.136, 79.808, 107.751, 1.57246,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs1.0, 0.167084, 1, 0.00115301, 179.977, 78.7702, 108.464, 1.57405,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs10.0, 1.82046, 2.15042, 0.0143075, 115.471, 127.256, 272.115, 68.8829,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs10.0, 2.19287, 2.20473, 0.0633641, 89.8314, 249.947, 416.885, 19.5867,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs10.0, 0.000939904, 2.36523, 0.122129, 138.282, 116.12, 172.023, 3.27336,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs10.0, 0.684721, 3, 0.131709, 159.258, 86.3455, 121.081, 1.84131,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs10.0, 1.16721, 2.375, 0.131835, 159.295, 86.5582, 120.77, 1.84398,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs10.0, 1.00308, 2.5, 0.131122, 159.419, 85.3998, 121.084, 1.84643,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs50.0, 6.45329, 8.48065, 0.0990664, 107.067, 167.874, 315.998, 113.282,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs50.0, 8.53706, 8.98943, 0.342641, 82.5015, 348.097, 625.879, 61.3812,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs50.0, 0.00365679, 9.65967, 1.95399, 126.241, 115.407, 194.107, 4.11535,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs50.0, 2.45625, 10, 1.96673, 147.517, 91.4502, 131.55, 2.08077,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs50.0, 4.46799, 10, 1.9692, 147.552, 91.6854, 131.208, 2.08417,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs50.0, 3.28629, 9.5, 1.96536, 147.661, 90.3579, 131.631, 2.08731,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs100.0, 12.5343, 15.2068, 0.282569, 102.515, 202.652, 345.129, 147.609,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs100.0, 16.4592, 16.9927, 0.800283, 78.8174, 410.281, 705.722, 93.0196,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs100.0, 0.00693145, 20.0122, 7.81475, 120.221, 130.913, 181.242, 4.72301,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs100.0, 6.2194, 19.75, 7.8281, 141.518, 87.6753, 119.57, 2.22548,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs100.0, 9.91482, 19, 7.83044, 141.557, 94.4027, 137.115, 2.22937,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs100.0, 14.6278, 18.5, 7.82861, 141.659, 93.2008, 137.528, 2.23296,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
