Compressor_field__params, relative_error, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 105.119, 984.386, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 85.3743, 795.317, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 108.713, 1262.68, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 109.973, 929.272, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 155.865, 1040.01, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 152.966, 1047.67, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.01, 0.01, 88.974, 98.785, 4.69117,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.01, 0.01, 85.3537, 82.3968, 3.81922,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.01, 8.03318e-06, 54.3525, 34.8971, 1.37728,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.01, 0, 82.3993, 202.976, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.01, 0, 93.0526, 202.952, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.01, 0, 94.9039, 202.767, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.02, 0.02, 89.3821, 110.353, 5.49975,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.02, 0.02, 88.1204, 89.8534, 4.38099,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.02, 2.02993e-05, 56.359, 28.4803, 1.59135,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.02, 0, 89.1306, 203.308, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.02, 0, 89.5316, 203.443, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.02, 0, 85.6488, 203.261, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.04, 0.04, 91.7005, 120.821, 6.59388,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__abs0.04, 0.04, 85.1146, 98.1001, 5.1221,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__abs0.04, 5.15801e-05, 55.9042, 27.4964, 1.80075,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__abs0.04, 0, 82.0389, 202.442, 1.11724,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__abs0.04, 0, 83.5302, 202.552, 1.10668,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__abs0.04, 0, 85.3915, 202.826, 1.09489,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__abs0.06, 0.06, 90.2965, 132.843, 7.47355,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
