Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
SZ_x__abs:0.03, 0.03, 0.000298336, 83.4177, 67.1832, 102.707, 50.7129, 94.1334, 10.0749
SZ_y__abs:0.03, 0.03, 0.000298546, 83.4147, 65.7173, 97.4551, 51.6419, 89.2171, 9.33445
SZ_z__abs:0.03, 0.03, 0.000298129, 83.4208, 64.9309, 92.1147, 48.9059, 84.6885, 8.62298
zfp_x__tolerance:0.06, 0.023428, 2.79126e-05, 93.7068, 99.5317, 109.148, 59.0121, 92.8601, 2.57343
zfp_y__tolerance:0.06, 0.0227861, 2.79135e-05, 93.7067, 98.5722, 108.083, 59.9414, 91.3132, 2.54668
zfp_z__tolerance:0.06, 0.0232382, 2.7913e-05, 93.7067, 88.2512, 96.5034, 61.0664, 91.8611, 2.524
fpzip_x__bits:22, 0.0156097, 4.49133e-05, 91.641, 21.1366, 23.7489, 17.4433, 20.8483, 5.26635
fpzip_y__bits:22, 0.0156097, 4.69997e-05, 91.4438, 21.1686, 23.6039, 17.3479, 21.0615, 5.11435
fpzip_z__bits:22, 0.0156097, 4.69672e-05, 91.4469, 20.4682, 23.0652, 18.2797, 21.9695, 4.9093
Isabela_x__tolerance:0.01_pcnt:40, 0.025589, 3.28162e-06, 103.004, 5.99826, 17.9672, 1.64005, 16.007, 2.63201
Isabela_y__tolerance:0.01_pcnt:40, 0.025589, 6.10331e-06, 100.309, 5.56382, 17.8617, 1.27569, 15.5868, 2.57796
Isabela_z__tolerance:0.01_pcnt:40, 0.0256042, 3.58209e-05, 92.6234, 1.47189, 16.4176, 0.967322, 15.1731, 1.92566
BigCrunch_x__tolerance:0.0001, 0.0078125, 1.12494e-05, 97.6535, 12.0431, 68.799, 8.87424, 37.527, 5.05552
BigCrunch_y__tolerance:0.0001, 0.0078125, 1.17714e-05, 97.4565, 11.4621, 66.9364, 8.67286, 33.7951, 4.98338
BigCrunch_z__tolerance:0.0001, 0.0078125, 1.17642e-05, 97.4592, 8.44205, 58.3509, 7.25305, 30.2898, 4.68738
