Compressor_field__params, relative_error, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 113.59, 1137.42, 0.362524, 88.2699, 1004.97, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 115.949, 1089.63, 0.424845, 75.3216, 929.542, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 110.497, 1494.8, 0.31598, 101.272, 1171.99, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 131.186, 1163.67, 0.324678, 98.5592, 995.044, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 131.862, 1213.97, 0.333009, 96.0935, 1061.41, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 151.418, 1358.61, 0.334806, 95.5776, 1017.89, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.01, 0.00999983, 62.7012, 104.765, 0.518484, 61.7183, 103.237, 5.15952,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.01, 0.00999963, 77.5413, 113.775, 0.450329, 71.0592, 106.566, 3.27037,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.01, 0.00999993, 84.5933, 123.968, 0.398973, 80.2059, 116.4, 6.27843,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.01, 0.00999992, 81.9066, 122.526, 0.550569, 58.1216, 106.764, 6.04667,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.01, 0.00999971, 81.6761, 122.529, 0.404137, 79.1811, 117.451, 5.97202,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.01, 0.00999993, 81.1077, 122.079, 0.408213, 78.3904, 118.138, 5.16227,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.02, 0.0199841, 64.1557, 106.424, 0.515643, 62.0584, 103.243, 6.1292,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.02, 0.0199983, 79.8207, 118.567, 0.43074, 74.2907, 108.464, 3.64688,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
