Compressor_field__params, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
fpzip_baryon_density__bits32, 0, 0, 0, inf, 71011.8, 8.36545, 11.2408, 1.55298,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits32, 0, 0, 0, inf, 7807.16, 9.46253, 12.4986, 1.17802,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits32, 0, 0, 0, inf, 2.86765e+06, 12.3581, 14.3989, 1.6092,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits32, 0, 0, 0, inf, 3.33206e+07, 11.062, 14.542, 1.67598,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits32, 0, 0, 0, inf, 3.34767e+07, 12.3141, 14.4741, 1.67343,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits32, 0, 0, 0, inf, 3.38671e+07, 12.1872, 14.3701, 1.66284,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits30, 0.0117188, 3.57628e-07, 9.22876e-12, 207.375, 71011.8, 9.2583, 13.7155, 1.72005,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits30, 0.00146484, 3.57628e-07, 1.87283e-12, 195.125, 7807.16, 10.7204, 12.6838, 1.27165,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits30, 0.75, 3.57628e-07, 3.19876e-06, 184.101, 2.86765e+06, 13.0705, 15.1075, 1.78928,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits30, 6, 3.57628e-07, 0.552943, 153.027, 3.33206e+07, 13.0389, 15.056, 1.87217,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits30, 8, 3.57628e-07, 0.650576, 152.362, 3.34767e+07, 12.9234, 14.5972, 1.86897,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits30, 6, 3.57628e-07, 0.498849, 153.616, 3.38671e+07, 12.6865, 14.8526, 1.85579,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits28, 0.0351562, 1.78814e-06, 1.90632e-10, 194.225, 71011.8, 13.2334, 15.0674, 1.92734,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits28, 0.00732422, 1.78814e-06, 4.1079e-11, 181.714, 7807.16, 10.2887, 13.0058, 1.38146,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits28, 3.75, 1.78814e-06, 7.07733e-05, 170.652, 2.86765e+06, 13.1242, 15.06, 2.01465,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits28, 30, 1.78814e-06, 12.246, 139.574, 3.33206e+07, 13.444, 14.8981, 2.12035,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
