Compressor_field__params, relative_error, Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
fpzip_temperature__bits28, 1.78814e-06, 2.02129, 15.8315, 19.3971, 1.65162,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits28, 1.78814e-06, 1.94946, 16.4148, 20.5791, 1.75788,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits28, 1.78814e-06, 2.45661, 13.0261, 19.4263, 1.74717,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits28, 1.78814e-06, 2.00563, 15.9551, 19.794, 1.68434,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits26, 7.51013e-06, 1.99583, 16.0334, 20.0063, 1.63692,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits26, 7.51013e-06, 2.15468, 14.8514, 17.8679, 1.43149,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits26, 7.51013e-06, 1.91613, 16.7003, 20.9425, 1.84187,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits26, 7.51013e-06, 1.8626, 17.1803, 20.8957, 1.97493,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits26, 7.51013e-06, 1.86787, 17.1318, 20.9711, 1.96143,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits26, 7.51013e-06, 1.90615, 16.7878, 20.671, 1.88261,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits24, 3.03974e-05, 1.99755, 16.0196, 20.4744, 1.82356,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits24, 3.03974e-05, 2.10772, 15.1823, 19.0477, 1.57222,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits24, 3.03974e-05, 1.87757, 17.0433, 21.0404, 2.08154,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits24, 3.03974e-05, 1.83365, 17.4516, 21.1779, 2.25311,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits24, 3.03974e-05, 1.81383, 17.6422, 21.0575, 2.23556,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits24, 3.03974e-05, 1.88961, 16.9347, 19.8677, 2.13373,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits22, 0.000121936, 1.8704, 17.1086, 20.7852, 2.05808,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits22, 0.000121936, 2.00212, 15.983, 19.3381, 1.7436,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits22, 0.000121936, 1.79401, 17.8371, 21.3201, 2.39284,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits22, 0.000121936, 1.71361, 18.6741, 21.1157, 2.62187,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits22, 0.000121936, 1.73289, 18.4662, 21.3334, 2.59855,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits22, 0.000121936, 1.80315, 17.7467, 20.9634, 2.46212,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__rel20, 3.69547e-06, 2.13422, 14.9938, 18.8615, 1.55721,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__rel20, 3.69547e-06, 2.29203, 13.9614, 17.5518, 1.37017,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__rel20, 3.69547e-06, 2.02057, 15.8371, 19.9518, 1.74157,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__rel20, 3.69547e-06, 1.93391, 16.5468, 20.612, 1.8601,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__rel20, 3.69547e-06, 1.94818, 16.4256, 19.9019, 1.84812,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__rel20, 3.69547e-06, 2.00669, 15.9466, 19.8762, 1.77797,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits18, 0.0019492, 1.74967, 18.2892, 21.5025, 2.77134,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits18, 0.0019492, 1.87698, 17.0487, 20.5871, 2.2297,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits18, 0.0019492, 1.67362, 19.1202, 21.919, 3.41485,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits18, 0.0019492, 1.58644, 20.1709, 22.5374, 3.90046,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits18, 0.0019492, 1.59909, 20.0114, 22.31, 3.84899,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits18, 0.0019492, 1.68627, 18.9768, 21.7035, 3.55739,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits16, 0.00775182, 1.60731, 19.9091, 22.2453, 3.35208,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits16, 0.00775182, 1.69273, 18.9043, 20.7209, 2.59113,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits16, 0.00775182, 1.58777, 20.1541, 22.2899, 4.34144,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits16, 0.00775182, 1.48332, 21.5733, 23.1437, 5.14514,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits16, 0.00775182, 1.53283, 20.8764, 22.6846, 5.05502,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits16, 0.00775182, 1.51408, 21.1349, 23.0229, 4.56961,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits14, 0.0303029, 1.5702, 20.3796, 22.6738, 4.23763,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits14, 0.0303029, 1.7033, 18.7871, 21.4556, 3.09203,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits14, 0.0303029, 1.50017, 21.3309, 23.9248, 5.94211,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits14, 0.0303029, 1.41137, 22.673, 24.6808, 7.31001,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits14, 0.0303029, 1.42521, 22.4528, 23.9975, 7.12756,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits14, 0.0303029, 1.5005, 21.3262, 23.4435, 6.27011,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits12, 0.111111, 1.45622, 21.9747, 23.1283, 5.7149,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits12, 0.111111, 1.60798, 19.9007, 21.5283, 3.82992,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits12, 0.111111, 1.36479, 23.4469, 24.1499, 8.97316,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits12, 0.111111, 1.3395, 23.8895, 24.7607, 11.2203,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits12, 0.111111, 1.29774, 24.6582, 25.4697, 10.9741,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits12, 0.111111, 1.39756, 22.897, 23.8529, 8.98707,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits10, 0.333333, 1.35865, 23.5528, 25.1084, 8.48702,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits10, 0.333333, 1.511, 21.1781, 22.6223, 5.0013,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits10, 0.333333, 1.19167, 26.8531, 27.9376, 15.116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits10, 0.333333, 1.18604, 26.9806, 28.3989, 20.215,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits10, 0.333333, 1.1489, 27.8527, 28.7212, 19.9475,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits10, 0.333333, 1.25822, 25.4327, 26.885, 14.4078,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_baryon_density__bits8, 0.75, 1.04349, 30.6664, 29.8877, 24.9131,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_dark_matter_density__bits8, 0.75, 1.10464, 28.9688, 27.7188, 9.73314,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_temperature__bits8, 0.75, 1.02933, 31.0882, 30.7358, 40.576,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_x__bits8, 0.75, 1.05245, 30.4052, 27.3336, 49.6629,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_y__bits8, 0.75, 1.04666, 30.5733, 30.2592, 49.006,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
fpzip_velocity_z__bits8, 0.75, 1.03957, 30.7818, 29.5168, 32.9294,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
