Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
SZ_x__abs:0.003, 0.00299999, 2.98708e-06, 103.412, 63.2335, 50.0691, 47.0916, 46.5894, 4.93142
SZ_y__abs:0.003, 0.003, 2.99747e-06, 103.397, 63.2135, 48.4367, 48.1576, 45.1393, 4.78545
SZ_z__abs:0.003, 0.00299999, 2.98991e-06, 103.408, 62.9088, 47.248, 43.0643, 44.0679, 4.60203
zfp_x__tolerance:0.007, 0.00291157, 4.36975e-07, 111.76, 86.967, 87.9655, 56.7454, 77.3272, 2.07285
zfp_y__tolerance:0.007, 0.00242615, 4.36916e-07, 111.761, 87.4638, 87.2207, 56.079, 76.2032, 2.05546
zfp_z__tolerance:0.007, 0.00241852, 4.36947e-07, 111.761, 79.1355, 79.9572, 56.5337, 76.2979, 2.04068
Isabela_x__tolerance:0.001_pcnt:50, 0.00256348, 3.93484e-07, 112.216, 3.34837, 17.2942, 0.581935, 14.3059, 2.05591
Isabela_y__tolerance:0.001_pcnt:50, 0.00256348, 4.43382e-07, 111.697, 2.77473, 17.0988, 0.516581, 14.1523, 1.98586
Isabela_z__tolerance:0.001_pcnt:50, 0.00256348, 5.43566e-07, 110.812, 0.752971, 15.2812, 0.536239, 14.0606, 1.5012
fpzip_x__bits:26, 0.000961304, 1.70667e-07, 115.843, 19.1275, 22.0797, 16.1119, 20.291, 3.1772
fpzip_y__bits:26, 0.000961304, 1.78611e-07, 115.646, 19.1113, 21.9594, 16.1709, 20.5245, 3.12128
fpzip_z__bits:26, 0.000961304, 1.78219e-07, 115.655, 18.5718, 21.6971, 16.6104, 20.5849, 3.04377
BigCrunch_x__tolerance:1e-05, 0.000976562, 1.75792e-07, 115.715, 10.1759, 51.7585, 7.67457, 29.2758, 3.42981
BigCrunch_y__tolerance:1e-05, 0.000976562, 1.83962e-07, 115.518, 10.1043, 52.3825, 7.9083, 28.1653, 3.39652
BigCrunch_z__tolerance:1e-05, 0.000976562, 1.83867e-07, 115.52, 7.59801, 46.969, 6.52659, 29.2447, 3.2564
