Compressor_field__params, name, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_Ne__, BLOSC_, 0, 0, 0, -nan, 0, 3990.21, 3070.22, 247.759
BLOSC_phi_grav__, BLOSC_, 0, 0, 0, inf, 216371, 168.772, 1582.09, 1.38873
BLOSC_pressure__, BLOSC_, 0, 0, 0, inf, 3.26916e+10, 170.711, 2227.74, 1.34049
BLOSC_magvel__, BLOSC_, 0, 0, 0, inf, 56.5288, 158.332, 1683.18, 1.31013
BLOSC_rho_E__, BLOSC_, 0, 0, 0, inf, 1.11809e+13, 166.262, 2379.3, 1.2775
BLOSC_rho_e__, BLOSC_, 0, 0, 0, inf, 4.90374e+10, 132.22, 1003.81, 1.16227
BLOSC_rho_H__, BLOSC_, 0, 0, 0, inf, 6.82796e+09, 163.592, 1899.26, 1.34869
BLOSC_rho_He__, BLOSC_, 0, 0, 0, inf, 2.1562e+09, 168.536, 2287.27, 1.33907
BLOSC_grav_x__, BLOSC_, 0, 0, 0, inf, 34832.8, 159.067, 1940.48, 1.26982
BLOSC_grav_y__, BLOSC_, 0, 0, 0, inf, 29929.8, 156.24, 1961.96, 1.24863
BLOSC_grav_z__, BLOSC_, 0, 0, 0, inf, 32240.5, 158.532, 1966.15, 1.24966
zfp_Ne__abs0.01, zfp_abs_0.01_, 0, 0, 0, -nan, 0, 2636.86, 3149.58, 2048
zfp_phi_grav__abs0.01, zfp_abs_0.01_, 0.0078125, 0.00175442, 4.79494e-08, 179.896, 216371, 93.377, 143.198, 1.97118
zfp_pressure__abs0.01, zfp_abs_0.01_, 0, 0, 0, inf, 3.26916e+10, 97.5264, 119.085, 1.32702
zfp_magvel__abs0.01, zfp_abs_0.01_, 0.00233698, 0.00169897, 1.16421e-07, 104.385, 56.5288, 127.339, 193.897, 3.05247
zfp_rho_E__abs0.01, zfp_abs_0.01_, 524288, 1.36402e-07, 2.07579e+07, 187.798, 1.11809e+13, 96.4988, 116.526, 1.31454
zfp_rho_e__abs0.01, zfp_abs_0.01_, 2048, 7.53838e-08, 11654.2, 173.146, 4.90374e+10, 97.5609, 120.721, 1.34734
zfp_rho_H__abs0.01, zfp_abs_0.01_, 256, 6.90969e-08, 8.04688, 187.63, 6.82796e+09, 97.5964, 120.063, 1.34099
zfp_rho_He__abs0.01, zfp_abs_0.01_, 0, 0, 0, inf, 2.1562e+09, 97.6106, 118.938, 1.3229
zfp_grav_x__abs0.01, zfp_abs_0.01_, 0.00390625, 0.00179765, 1.21184e-07, 160.005, 34832.8, 101.129, 132.785, 1.6449
zfp_grav_y__abs0.01, zfp_abs_0.01_, 0.00244141, 0.00176001, 1.26326e-07, 158.507, 29929.8, 102.289, 132.746, 1.64799
zfp_grav_z__abs0.01, zfp_abs_0.01_, 0.00390625, 0.00169401, 1.2081e-07, 159.347, 32240.5, 100.265, 131.536, 1.64814
zfp_Ne__abs0.1, zfp_abs_0.1_, 0, 0, 0, -nan, 0, 2602.22, 2959.25, 2048
zfp_phi_grav__abs0.1, zfp_abs_0.1_, 0.0175781, 0.010727, 8.00874e-06, 157.668, 216371, 99.2526, 160.304, 2.4093
zfp_pressure__abs0.1, zfp_abs_0.1_, 0, 0, 0, inf, 3.26916e+10, 97.4423, 119.209, 1.32702
zfp_magvel__abs0.1, zfp_abs_0.1_, 0.0190887, 0.016136, 7.4553e-06, 86.3207, 56.5288, 141.936, 230.658, 4.27621
zfp_rho_E__abs0.1, zfp_abs_0.1_, 524288, 1.36402e-07, 2.07579e+07, 187.798, 1.11809e+13, 96.4421, 116.489, 1.31454
zfp_rho_e__abs0.1, zfp_abs_0.1_, 2048, 7.53838e-08, 11654.2, 173.146, 4.90374e+10, 97.5428, 120.767, 1.34734
zfp_rho_H__abs0.1, zfp_abs_0.1_, 256, 6.90969e-08, 8.04688, 187.63, 6.82796e+09, 97.5192, 120.082, 1.34099
zfp_rho_He__abs0.1, zfp_abs_0.1_, 0, 0, 0, inf, 2.1562e+09, 97.552, 119.005, 1.3229
zfp_grav_x__abs0.1, zfp_abs_0.1_, 0.0186768, 0.0143203, 7.52535e-06, 142.074, 34832.8, 108.726, 147.885, 1.94481
zfp_grav_y__abs0.1, zfp_abs_0.1_, 0.019165, 0.0142142, 7.48994e-06, 140.777, 29929.8, 110.096, 147.724, 1.94913
zfp_grav_z__abs0.1, zfp_abs_0.1_, 0.019043, 0.0131869, 7.52925e-06, 141.401, 32240.5, 107.876, 146.41, 1.94934
zfp_Ne__abs0.5, zfp_abs_0.5_, 0, 0, 0, -nan, 0, 2633.13, 3302.46, 2048
zfp_phi_grav__abs0.5, zfp_abs_0.5_, 0.146484, 0.099318, 0.00047951, 139.896, 216371, 107.061, 183.281, 3.11228
zfp_pressure__abs0.5, zfp_abs_0.5_, 0, 0, 0, inf, 3.26916e+10, 97.4982, 119.026, 1.32702
zfp_magvel__abs0.5, zfp_abs_0.5_, 0.148775, 0.110424, 0.000476124, 68.2682, 56.5288, 162.554, 290.336, 7.14322
zfp_rho_E__abs0.5, zfp_abs_0.5_, 524288, 1.36402e-07, 2.07579e+07, 187.798, 1.11809e+13, 96.5358, 116.526, 1.31454
zfp_rho_e__abs0.5, zfp_abs_0.5_, 2048, 7.53838e-08, 11654.2, 173.146, 4.90374e+10, 97.5268, 120.617, 1.34734
