Compressor_field__params, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
SZ_baryon_density__pw_rel0.01, 407.438, 0.00999264, 0.0107701, 116.704, 71011.8, 62.5998, 104.484, 10.4293,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.01, 55.8506, 0.00999987, 0.00202502, 104.786, 7807.16, 53.4794, 97.4637, 3.72858,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.01, 24867.8, 0.00999147, 3222.31, 94.0688, 2.86765e+06, 64.0735, 108.567, 11.9852,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.01, 307784, 0.00999632, 6.01881e+08, 62.6591, 3.33206e+07, 65.4209, 112.909, 11.4313,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.01, 311110, 0.00999955, 7.09622e+08, 61.9846, 3.34767e+07, 67.311, 114.287, 11.3101,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_z__pw_rel0.01, 296364, 0.00999823, 5.41573e+08, 63.259, 3.38671e+07, 66.2122, 105.516, 11.2026,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_baryon_density__pw_rel0.02, 1387.96, 0.019984, 0.050339, 110.008, 71011.8, 69.0374, 110.085, 13.4388,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_dark_matter_density__pw_rel0.02, 127.105, 0.019998, 0.00808289, 98.7742, 7807.16, 68.6712, 107.819, 4.236,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_temperature__pw_rel0.02, 45584.8, 0.019984, 12816.2, 88.0729, 2.86765e+06, 75.833, 117.634, 14.9479,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_x__pw_rel0.02, 596582, 0.0199841, 2.38399e+09, 56.6812, 3.33206e+07, 68.4048, 116.351, 13.6137,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
SZ_velocity_y__pw_rel0.02, 596338, 0.0199841, 2.81066e+09, 56.0068, 3.34767e+07, 67.6855, 113.581, 13.4363,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
