Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
SZ_baryon_density__rel0.001, sz_rel__1e-3, 28.9186, 28.9133, 1.43885, 87.6435, 258.534, 620.073, 390.404
SZ_dark_matter_density__rel0.001, sz_rel__1e-3, 5.45222, 5.45222, 0.493822, 77.7958, 230.389, 543.221, 93.8534
SZ_temperature__rel0.001, sz_rel__1e-3, 1308.51, 0.627754, 168731, 70.0733, 137.005, 206.276, 9.81197
SZ_velocity_x__rel0.001, sz_rel__1e-3, 57193.2, 43413.8, 6.65844e+08, 61.3089, 126.555, 219.888, 9.34659
SZ_baryon_density__rel0.002, sz_rel__2e-3, 57.8365, 57.6903, 2.31208, 85.5836, 267.737, 640.078, 738.902
SZ_dark_matter_density__rel0.002, sz_rel__2e-3, 10.9044, 10.9042, 0.984253, 74.8004, 244.153, 597.314, 173.431
SZ_temperature__rel0.002, sz_rel__2e-3, 2617.02, 1.54448, 610627, 64.4875, 146.887, 238.382, 13.5974
SZ_velocity_x__rel0.002, sz_rel__2e-3, 114386, 100916, 2.67296e+09, 55.2727, 129.485, 279.662, 12.2656
SZ_baryon_density__rel0.003, sz_rel__3e-3, 86.7562, 86.542, 3.01722, 84.4275, 270.913, 640.838, 1044.32
SZ_dark_matter_density__rel0.003, sz_rel__3e-3, 16.3566, 16.3546, 1.44693, 73.127, 247.271, 619.033, 252.308
SZ_temperature__rel0.003, sz_rel__3e-3, 3925.53, 2.51421, 972175, 62.4678, 144.688, 212.616, 17.3195
SZ_velocity_x__rel0.003, sz_rel__3e-3, 171580, 139573, 6.01781e+09, 51.7482, 124.28, 214.492, 14.3816
SZ_baryon_density__rel0.004, sz_rel__4e-3, 115.672, 115.185, 3.60825, 83.6507, 273.759, 641.884, 1348.14
SZ_dark_matter_density__rel0.004, sz_rel__4e-3, 21.8089, 21.7948, 1.88581, 71.9765, 248.939, 625.181, 330.631
SZ_temperature__rel0.004, sz_rel__4e-3, 5234.04, 2.49753, 1.44912e+06, 60.7342, 148.449, 247.859, 20.7804
SZ_velocity_x__rel0.004, sz_rel__4e-3, 228773, 189673, 1.07027e+10, 49.2477, 124.415, 229.818, 15.8979
SZ_baryon_density__rel0.005, sz_rel__5e-3, 144.593, 131.955, 4.10995, 83.0853, 273.826, 643.637, 1647.99
SZ_dark_matter_density__rel0.005, sz_rel__5e-3, 27.2611, 27.2588, 2.30006, 71.1141, 253.007, 634.159, 409.56
SZ_temperature__rel0.005, sz_rel__5e-3, 6542.55, 3.0627, 1.88601e+06, 59.5898, 153.686, 290.588, 25.0927
SZ_velocity_x__rel0.005, sz_rel__5e-3, 285966, 248319, 1.67299e+10, 47.3077, 125.871, 242.375, 17.2881
SZ_baryon_density__rel0.006, sz_rel__6e-3, 173.491, 131.129, 4.54099, 82.6521, 276.039, 647.213, 1922.42
