Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_dark_matter_density__abs0.54522, zfp_abs__1e-4, 0.150105, 0.146964, 0.000476762, 107.948, 201.786, 300.627, 5.84426
zfp_dark_matter_density__abs1.09044, zfp_abs__2e-4, 0.300748, 0.289191, 0.00189168, 101.963, 220.438, 337.49, 7.15216
zfp_dark_matter_density__abs1.63567, zfp_abs__3e-4, 0.300748, 0.289191, 0.00189168, 101.963, 217.254, 330.804, 7.15216
zfp_dark_matter_density__abs2.18089, zfp_abs__4e-4, 0.590497, 0.565554, 0.0071376, 96.1959, 236.047, 370.91, 9.21392
zfp_dark_matter_density__abs2.72611, zfp_abs__5e-4, 0.590497, 0.565554, 0.0071376, 96.1959, 239.866, 378.352, 9.21392
zfp_dark_matter_density__abs3.27133, zfp_abs__6e-4, 0.590497, 0.565554, 0.0071376, 96.1959, 235.469, 369.818, 9.21392
zfp_dark_matter_density__abs3.81655, zfp_abs__7e-4, 0.590497, 0.565554, 0.0071376, 96.1959, 234.77, 369.381, 9.21392
zfp_dark_matter_density__abs4.36177, zfp_abs__8e-4, 1.28567, 1.28567, 0.023212, 91.0743, 259.202, 425.908, 12.8836
zfp_dark_matter_density__abs4.90699, zfp_abs__9e-4, 1.28567, 1.28567, 0.023212, 91.0743, 263.269, 429.365, 12.8836
zfp_dark_matter_density__abs5.45222, zfp_abs__1e-3, 1.28567, 1.28567, 0.023212, 91.0743, 264.005, 431.778, 12.8836
zfp_dark_matter_density__abs10.9042, zfp_abs__2e-3, 2.38846, 2.19491, 0.061818, 86.8203, 303.328, 532.392, 20.509
zfp_dark_matter_density__abs16.3546, zfp_abs__3e-3, 4.57493, 4.13933, 0.144353, 83.1372, 362.881, 700.661, 36.9768
zfp_dark_matter_density__abs21.7948, zfp_abs__4e-3, 4.57493, 4.13933, 0.144353, 83.1372, 360.909, 700.865, 36.9768
zfp_dark_matter_density__abs27.2588, zfp_abs__5e-3, 4.57493, 4.13933, 0.144353, 83.1372, 362.609, 702.571, 36.9768
zfp_dark_matter_density__abs32.6539, zfp_abs__6e-3, 8.90072, 8.90072, 0.332576, 79.5126, 425.317, 843.574, 62.6486
zfp_dark_matter_density__abs38.1514, zfp_abs__7e-3, 8.90072, 8.90072, 0.332576, 79.5126, 430.06, 847.46, 62.6486
zfp_dark_matter_density__abs43.5967, zfp_abs__8e-3, 8.90072, 8.90072, 0.332576, 79.5126, 423.116, 839.614, 62.6486
zfp_dark_matter_density__abs49.0245, zfp_abs__9e-3, 8.90072, 8.90072, 0.332576, 79.5126, 424.861, 836.744, 62.6486
zfp_dark_matter_density__abs54.4553, zfp_abs__1e-2, 8.90072, 8.90072, 0.332576, 79.5126, 428.537, 850.33, 62.6486
zfp_dark_matter_density__abs108.978, zfp_abs__2e-2, 18.1521, 18.1521, 0.794322, 75.7315, 496.999, 932.695, 94.3756
zfp_dark_matter_density__abs150.753, zfp_abs__3e-2, 32.9331, 29.693, 1.6831, 72.4704, 607.919, 1026.85, 132.926
zfp_dark_matter_density__abs137.577, zfp_abs__4e-2, 32.9331, 29.693, 1.6831, 72.4704, 608.888, 1024.36, 132.926
zfp_dark_matter_density__abs138.032, zfp_abs__5e-2, 32.9331, 29.693, 1.6831, 72.4704, 612.192, 1039.32, 132.926
zfp_dark_matter_density__abs160.104, zfp_abs__6e-2, 32.9331, 29.693, 1.6831, 72.4704, 610.011, 1029.03, 132.926
zfp_dark_matter_density__abs186.812, zfp_abs__7e-2, 32.9331, 29.693, 1.6831, 72.4704, 612.595, 1045.52, 132.926
zfp_dark_matter_density__abs370.148, zfp_abs__8e-2, 65.4095, 55.4841, 3.13221, 69.773, 849.242, 1322.63, 229.676
zfp_dark_matter_density__abs396.046, zfp_abs__9e-2, 65.4095, 55.4841, 3.13221, 69.773, 840.557, 1305.76, 229.676
zfp_dark_matter_density__abs367.422, zfp_abs__1e-1, 65.4095, 55.4841, 3.13221, 69.773, 830.794, 1304.29, 229.676
zfp_dark_matter_density__abs499.201, zfp_abs__2e-1, 65.4095, 55.4841, 3.13221, 69.773, 840.913, 1305.01, 229.676
zfp_dark_matter_density__abs544.636, zfp_abs__3e-1, 134.579, 95.7269, 5.42743, 67.3855, 1149.66, 1625.36, 413.588
zfp_dark_matter_density__abs544.636, zfp_abs__4e-1, 134.579, 95.7269, 5.42743, 67.3855, 1150.64, 1594.79, 413.588
zfp_dark_matter_density__abs567.354, zfp_abs__5e-1, 134.579, 95.7269, 5.42743, 67.3855, 1150.64, 1579.04, 413.588
zfp_dark_matter_density__abs479.683, zfp_abs__6e-1, 65.4095, 55.4841, 3.13221, 69.773, 840.532, 1306.32, 229.676
zfp_dark_matter_density__abs489.68, zfp_abs__7e-1, 65.4095, 55.4841, 3.13221, 69.773, 833.557, 1298, 229.676
zfp_dark_matter_density__abs544.911, zfp_abs__8e-1, 134.579, 95.7269, 5.42743, 67.3855, 1153.22, 1620.23, 413.588
zfp_dark_matter_density__abs613.064, zfp_abs__9e-1, 134.579, 95.7269, 5.42743, 67.3855, 1147.68, 1614.52, 413.588
