Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio,FILE_1,FILE_2,FILE_3
BLOSC_x__, 0, 0, inf, 314.089, 2208.25, 167.407, 1142.12, 1.77475,halos_hist_499_FoFHaloMass_BLOSC__.png,halos_hist_norm_499_FoFHaloMass_BLOSC__.png,halos_hist_diff_499_FoFHaloMass_BLOSC__.png
BLOSC_y__, 0, 0, inf, 315.114, 2198.32, 132.794, 947.63, 1.76565,halos_hist_499_FoFHaloMass_BLOSC__.png,halos_hist_norm_499_FoFHaloMass_BLOSC__.png,halos_hist_diff_499_FoFHaloMass_BLOSC__.png
BLOSC_z__, 0, 0, inf, 269.224, 1645.42, 154.446, 1101.81, 1.71701,halos_hist_499_FoFHaloMass_BLOSC__.png,halos_hist_norm_499_FoFHaloMass_BLOSC__.png,halos_hist_diff_499_FoFHaloMass_BLOSC__.png
SZ_x__abs:0.001, 0.000999998, 3.3311e-07, 112.939, 60.871, 40.383, 45.9358, 38.058, 3.97563,halos_hist_499_FoFHaloMass_SZ__abs:0.001.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.001.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.001.png
SZ_y__abs:0.001, 0.000999996, 3.33044e-07, 112.94, 62.9635, 39.2282, 48.0934, 37.3362, 3.86776,halos_hist_499_FoFHaloMass_SZ__abs:0.001.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.001.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.001.png
SZ_z__abs:0.001, 0.000999995, 3.31962e-07, 112.954, 62.1533, 38.8193, 46.5986, 36.5825, 3.72963,halos_hist_499_FoFHaloMass_SZ__abs:0.001.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.001.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.001.png
SZ_x__abs:0.002, 0.002, 1.33331e-06, 106.915, 55.1492, 45.6059, 48.9968, 43.1684, 4.54644,halos_hist_499_FoFHaloMass_SZ__abs:0.002.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.002.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.002.png
SZ_y__abs:0.002, 0.002, 1.33321e-06, 106.916, 63.397, 45.3508, 48.9687, 41.8, 4.40658,halos_hist_499_FoFHaloMass_SZ__abs:0.002.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.002.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.002.png
SZ_z__abs:0.002, 0.00199999, 1.32885e-06, 106.93, 62.549, 43.8004, 48.7217, 41.5525, 4.228,halos_hist_499_FoFHaloMass_SZ__abs:0.002.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.002.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.002.png
SZ_x__abs:0.003, 0.00299999, 2.98708e-06, 103.412, 63.3828, 50.3659, 48.4178, 45.967, 4.93142,halos_hist_499_FoFHaloMass_SZ__abs:0.003.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.003.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.003.png
