Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio,FILE_1,FILE_2,FILE_3
SZ_y__abs:0.003, 0.003, 2.99747e-06, 103.397, 63.779, 48.8722, 48.8155, 45.5043, 4.78545,halos_hist_499_FoFHaloMass_SZ__abs:0.003.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.003.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.003.png
SZ_z__abs:0.003, 0.00299999, 2.98991e-06, 103.408, 62.8783, 47.3716, 47.5853, 43.87, 4.60203,halos_hist_499_FoFHaloMass_SZ__abs:0.003.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.003.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.003.png
SZ_x__abs:0.004, 0.00399999, 5.3331e-06, 100.895, 63.5714, 54.1006, 48.3535, 49.1872, 5.29866,halos_hist_499_FoFHaloMass_SZ__abs:0.004.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.004.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.004.png
SZ_y__abs:0.004, 0.00399999, 5.33274e-06, 100.895, 63.4592, 52.0906, 48.7111, 47.8067, 5.10443,halos_hist_499_FoFHaloMass_SZ__abs:0.004.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.004.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.004.png
SZ_z__abs:0.004, 0.00399999, 5.31554e-06, 100.909, 63.0463, 50.3635, 48.2818, 46.7658, 4.87554,halos_hist_499_FoFHaloMass_SZ__abs:0.004.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.004.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.004.png
SZ_x__abs:0.005, 0.005, 8.32651e-06, 98.9602, 64.1575, 57.1066, 48.2392, 52.1913, 5.59269,halos_hist_499_FoFHaloMass_SZ__abs:0.005.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.005.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.005.png
SZ_y__abs:0.005, 0.005, 8.32608e-06, 98.9604, 64.0543, 55.6874, 48.0434, 50.7728, 5.37775,halos_hist_499_FoFHaloMass_SZ__abs:0.005.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.005.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.005.png
SZ_z__abs:0.005, 0.005, 8.29995e-06, 98.974, 63.0684, 52.9039, 46.3046, 48.6738, 5.13882,halos_hist_499_FoFHaloMass_SZ__abs:0.005.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.005.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.005.png
SZ_x__abs:0.01, 0.00999999, 3.33271e-05, 92.9368, 65.9587, 71.5972, 46.525, 64.1286, 6.77322,halos_hist_499_FoFHaloMass_SZ__abs:0.01.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.01.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.01.png
SZ_y__abs:0.01, 0.00999999, 3.33261e-05, 92.937, 64.9084, 68.8059, 49.6323, 61.8382, 6.45922,halos_hist_499_FoFHaloMass_SZ__abs:0.01.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.01.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.01.png
SZ_z__abs:0.01, 0.00999999, 3.32215e-05, 92.9506, 64.2478, 64.8319, 48.2809, 59.4976, 6.1007,halos_hist_499_FoFHaloMass_SZ__abs:0.01.png,halos_hist_norm_499_FoFHaloMass_SZ__abs:0.01.png,halos_hist_diff_499_FoFHaloMass_SZ__abs:0.01.png
zfp_x__tolerance:0.001, 0.000602722, 2.72825e-08, 123.806, 75.5016, 77.5367, 47.3221, 65.3605, 1.8351,halos_hist_499_FoFHaloMass_zfp__tolerance:0.001.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.001.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.001.png
zfp_y__tolerance:0.001, 0.00060463, 2.72784e-08, 123.807, 75.8919, 77.8265, 50.2776, 67.8937, 1.82146,halos_hist_499_FoFHaloMass_zfp__tolerance:0.001.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.001.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.001.png
zfp_z__tolerance:0.001, 0.000602722, 2.72844e-08, 123.806, 73.33, 71.9182, 54.2542, 68.2698, 1.80984,halos_hist_499_FoFHaloMass_zfp__tolerance:0.001.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.001.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.001.png
zfp_x__tolerance:0.002, 0.00121307, 1.09341e-07, 117.777, 84.1949, 80.9503, 52.9429, 71.24, 1.94674,halos_hist_499_FoFHaloMass_zfp__tolerance:0.002.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.002.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.002.png
zfp_y__tolerance:0.002, 0.00121689, 1.09355e-07, 117.776, 83.27, 82.1683, 54.9953, 71.7562, 1.9314,halos_hist_499_FoFHaloMass_zfp__tolerance:0.002.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.002.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.002.png
zfp_z__tolerance:0.002, 0.00120926, 1.09345e-07, 117.777, 75.4487, 75.6939, 54.6258, 71.0896, 1.91833,halos_hist_499_FoFHaloMass_zfp__tolerance:0.002.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.002.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.002.png
zfp_x__tolerance:0.003, 0.00121307, 1.09341e-07, 117.777, 84.3147, 81.3467, 52.0595, 69.0937, 1.94674,halos_hist_499_FoFHaloMass_zfp__tolerance:0.003.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.003.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.003.png
zfp_y__tolerance:0.003, 0.00121689, 1.09355e-07, 117.776, 78.3142, 82.0422, 53.3089, 71.576, 1.9314,halos_hist_499_FoFHaloMass_zfp__tolerance:0.003.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.003.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.003.png
zfp_z__tolerance:0.003, 0.00120926, 1.09345e-07, 117.777, 76.4545, 75.7681, 55.0554, 71.1505, 1.91833,halos_hist_499_FoFHaloMass_zfp__tolerance:0.003.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.003.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.003.png
zfp_x__tolerance:0.004, 0.00291157, 4.36975e-07, 111.76, 87.2491, 87.3806, 52.5497, 74.2332, 2.07285,halos_hist_499_FoFHaloMass_zfp__tolerance:0.004.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.004.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.004.png
zfp_y__tolerance:0.004, 0.00242615, 4.36916e-07, 111.761, 80.9369, 87.1208, 55.9109, 75.5685, 2.05546,halos_hist_499_FoFHaloMass_zfp__tolerance:0.004.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.004.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.004.png
zfp_z__tolerance:0.004, 0.00241852, 4.36947e-07, 111.761, 78.6518, 79.9362, 55.8225, 74.9961, 2.04068,halos_hist_499_FoFHaloMass_zfp__tolerance:0.004.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.004.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.004.png
zfp_x__tolerance:0.005, 0.00291157, 4.36975e-07, 111.76, 77.6976, 87.7448, 53.4141, 74.5282, 2.07285,halos_hist_499_FoFHaloMass_zfp__tolerance:0.005.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.005.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.005.png
zfp_y__tolerance:0.005, 0.00242615, 4.36916e-07, 111.761, 80.8825, 85.9506, 55.7242, 75.2689, 2.05546,halos_hist_499_FoFHaloMass_zfp__tolerance:0.005.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.005.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.005.png
zfp_z__tolerance:0.005, 0.00241852, 4.36947e-07, 111.761, 77.2775, 80.024, 52.0792, 74.6939, 2.04068,halos_hist_499_FoFHaloMass_zfp__tolerance:0.005.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.005.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.005.png
zfp_x__tolerance:0.01, 0.00514412, 1.74867e-06, 105.738, 83.7665, 93.1815, 55.3778, 77.8192, 2.21646,halos_hist_499_FoFHaloMass_zfp__tolerance:0.01.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.01.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.01.png
zfp_y__tolerance:0.01, 0.0058279, 1.74868e-06, 105.738, 88.0161, 90.9216, 57.7528, 79.4209, 2.1966,halos_hist_499_FoFHaloMass_zfp__tolerance:0.01.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.01.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.01.png
zfp_z__tolerance:0.01, 0.00485229, 1.74865e-06, 105.738, 81.0306, 84.8904, 55.8195, 80.0649, 2.17971,halos_hist_499_FoFHaloMass_zfp__tolerance:0.01.png,halos_hist_norm_499_FoFHaloMass_zfp__tolerance:0.01.png,halos_hist_diff_499_FoFHaloMass_zfp__tolerance:0.01.png
