Compressor_field__params, name, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_Ne__, BLOSC_, 0, 0, 0, -nan, 0, 3819.84, 2701.5, 247.759
BLOSC_phi_grav__, BLOSC_, 0, 0, 0, inf, 216371, 169.09, 1573.91, 1.38873
BLOSC_pressure__, BLOSC_, 0, 0, 0, inf, 3.26916e+10, 170.857, 2215.61, 1.34049
BLOSC_magvel__, BLOSC_, 0, 0, 0, inf, 56.5288, 169.283, 1680.39, 1.31013
BLOSC_rho_E__, BLOSC_, 0, 0, 0, inf, 1.11809e+13, 166.577, 2387.65, 1.2775
BLOSC_rho_e__, BLOSC_, 0, 0, 0, inf, 4.90374e+10, 132.879, 1082.89, 1.16227
BLOSC_rho_H__, BLOSC_, 0, 0, 0, inf, 6.82796e+09, 172.277, 2059.28, 1.34869
BLOSC_rho_He__, BLOSC_, 0, 0, 0, inf, 2.1562e+09, 169.672, 2295.05, 1.33907
BLOSC_grav_x__, BLOSC_, 0, 0, 0, inf, 34832.8, 161.136, 1941.9, 1.26982
BLOSC_grav_y__, BLOSC_, 0, 0, 0, inf, 29929.8, 157.92, 1961.88, 1.24863
BLOSC_grav_z__, BLOSC_, 0, 0, 0, inf, 32240.5, 157.445, 1971.39, 1.24966
SZ_phi_grav__abs0.01, SZ_abs_0.01_, 0.00999975, 0.00998515, 3.1424e-05, 151.731, 216371, 82.4924, 84.683, 2.9306
SZ_pressure__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 3.26916e+10, 124.339, 214.938, 1.22527
SZ_magvel__abs0.01, SZ_abs_0.01_, 0.00999999, 0.00999928, 3.31527e-05, 79.8402, 56.5288, 85.7976, 151.453, 5.77793
SZ_rho_E__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 1.11809e+13, 123.881, 195.808, 1.12641
SZ_rho_e__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 4.90374e+10, 127.48, 216.197, 1.18073
