Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
zfp_y__tolerance:0.003, 0.00121689, 1.09355e-07, 117.776, 78.3142, 82.0422, 53.3089, 71.576, 1.9314
zfp_z__tolerance:0.003, 0.00120926, 1.09345e-07, 117.777, 76.4545, 75.7681, 55.0554, 71.1505, 1.91833
zfp_x__tolerance:0.004, 0.00291157, 4.36975e-07, 111.76, 87.2491, 87.3806, 52.5497, 74.2332, 2.07285
zfp_y__tolerance:0.004, 0.00242615, 4.36916e-07, 111.761, 80.9369, 87.1208, 55.9109, 75.5685, 2.05546
zfp_z__tolerance:0.004, 0.00241852, 4.36947e-07, 111.761, 78.6518, 79.9362, 55.8225, 74.9961, 2.04068
zfp_x__tolerance:0.005, 0.00291157, 4.36975e-07, 111.76, 77.6976, 87.7448, 53.4141, 74.5282, 2.07285
zfp_y__tolerance:0.005, 0.00242615, 4.36916e-07, 111.761, 80.8825, 85.9506, 55.7242, 75.2689, 2.05546
zfp_z__tolerance:0.005, 0.00241852, 4.36947e-07, 111.761, 77.2775, 80.024, 52.0792, 74.6939, 2.04068
zfp_x__tolerance:0.01, 0.00514412, 1.74867e-06, 105.738, 83.7665, 93.1815, 55.3778, 77.8192, 2.21646
zfp_y__tolerance:0.01, 0.0058279, 1.74868e-06, 105.738, 88.0161, 90.9216, 57.7528, 79.4209, 2.1966
zfp_z__tolerance:0.01, 0.00485229, 1.74865e-06, 105.738, 81.0306, 84.8904, 55.8195, 80.0649, 2.17971
