Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
SZ_dark_matter_density__abs5452.22, sz_Abs__4, 5451.95, 1.52076, 34.5883, 59.3422, 3230.75, 4064.37, 3.0504e+06
SZ_dark_matter_density__abs4784.62, sz_Abs__5, 4783.65, 597.767, 34.2183, 59.3889, 275.809, 656.375, 32482.5
SZ_dark_matter_density__abs3504.62, sz_Abs__6, 3500, 437.767, 33.7636, 59.447, 275.417, 657.939, 32238.7
SZ_dark_matter_density__abs2173.74, sz_Abs__7, 2159.68, 542.849, 31.3792, 59.765, 273.783, 636.105, 10417
SZ_dark_matter_density__abs825.221, sz_Abs__8, 824.87, 480.793, 24.2431, 60.8856, 273.746, 636.44, 7136.2
SZ_dark_matter_density__abs604.993, sz_Abs__9, 604.918, 503.575, 21.8528, 61.3364, 274.649, 638.12, 6762.02
SZ_dark_matter_density__abs274.996, sz_Abs__10, 274.996, 233.523, 15.1086, 62.9392, 275.598, 639.264, 5233.83
SZ_dark_matter_density__abs164.843, sz_Abs__11, 164.843, 162.728, 11.3852, 64.168, 275.434, 643.657, 3964.63
SZ_dark_matter_density__abs55.9861, sz_Abs__12, 55.9861, 55.9221, 5.86709, 67.0472, 274.38, 644.448, 1662.74
SZ_dark_matter_density__abs40.0554, sz_Abs__13, 40.0554, 40.0473, 4.69276, 68.0172, 271.999, 644.048, 1169.7
SZ_dark_matter_density__abs19.799, sz_Abs__14, 19.799, 19.799, 2.68625, 70.44, 261.237, 641.804, 567.111
SZ_dark_matter_density__abs12.321, sz_Abs__15, 12.321, 12.321, 1.76382, 72.2669, 251.025, 631.695, 363.573
SZ_dark_matter_density__abs5.66621, sz_Abs__16, 5.66621, 5.66621, 0.858905, 75.392, 244.864, 607.653, 176.744
SZ_dark_matter_density__abs2.87016, sz_Abs__17, 2.87016, 2.87016, 0.433319, 78.3634, 233.783, 559.135, 96.9957
SZ_dark_matter_density__abs1.31567, sz_Abs__18, 1.31567, 1.31567, 0.194623, 81.8395, 217.087, 477.215, 49.1167
SZ_dark_matter_density__abs0.565186, sz_Abs__19, 0.565186, 0.565186, 0.0753883, 85.9584, 179.373, 350.152, 23.1537
SZ_dark_matter_density__abs0.429153, sz_Abs__20, 0.429153, 0.429153, 0.0546251, 87.3575, 155.883, 289.486, 17.4475
SZ_dark_matter_density__abs0.163086, sz_Abs__21, 0.163086, 0.163086, 0.00880754, 95.2829, 120.915, 178.321, 8.37992
SZ_dark_matter_density__abs0.0673828, sz_Abs__22, 0.0673828, 0.0673828, 0.00150599, 102.953, 115.243, 157.113, 5.95896
SZ_dark_matter_density__abs0.0453949, sz_Abs__23, 0.0453949, 0.0453949, 0.00068248, 106.391, 114.139, 154.264, 5.29839
SZ_dark_matter_density__abs0.0215454, sz_Abs__24, 0.0215454, 0.0215454, 0.00015367, 112.866, 112.813, 142.247, 4.43982
SZ_dark_matter_density__abs0.00762939, sz_Abs__25, 0.00762939, 0.00762939, 1.92544e-05, 121.886, 113.583, 118.568, 3.69725
SZ_dark_matter_density__abs0.00616455, sz_Abs__26, 0.00616454, 0.00616454, 1.2521e-05, 123.755, 125.059, 119.763, 3.58956
SZ_dark_matter_density__abs0.00250244, sz_Abs__27, 0.00250244, 0.00250244, 2.06222e-06, 131.588, 122.712, 100.956, 3.10758
SZ_dark_matter_density__abs0.00132751, sz_Abs__28, 0.00132751, 0.00132751, 5.7952e-07, 137.101, 118.542, 89.006, 2.83433
SZ_dark_matter_density__abs0.000534058, sz_Abs__29, 0.000534058, 0.000534058, 9.40629e-08, 144.997, 111.214, 70.1191, 2.51322
SZ_dark_matter_density__abs0.000289917, sz_Abs__30, 0.000289917, 0.000289917, 2.75947e-08, 150.323, 109.108, 62.4063, 2.33916
