Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_dark_matter_density__abs400.4176, zfp_abs__0, 65.4095, 55.4841, 3.13221, 69.773, 763.891, 865.711, 229.676
zfp_dark_matter_density__abs250.4176, zfp_abs__1, 32.9331, 29.693, 1.6831, 72.4704, 513.171, 711.655, 132.926
zfp_dark_matter_density__abs125.5666, zfp_abs__2, 18.1521, 18.1521, 0.794322, 75.7315, 419.878, 686.666, 94.3756
zfp_dark_matter_density__abs55.1396, zfp_abs__3, 8.90072, 8.90072, 0.332576, 79.5126, 370.07, 629.541, 62.6486
zfp_dark_matter_density__abs20.1396, zfp_abs__4, 4.57493, 4.13933, 0.144353, 83.1372, 309.271, 544.202, 36.9768
zfp_dark_matter_density__abs15.1396, zfp_abs__5, 2.38846, 2.19491, 0.061818, 86.8203, 265.286, 452.62, 20.509
zfp_dark_matter_density__abs9.1396, zfp_abs__6, 2.38846, 2.19491, 0.061818, 86.8203, 250.252, 434.513, 20.509
zfp_dark_matter_density__abs7.1396, zfp_abs__7, 1.28567, 1.28567, 0.023212, 91.0743, 213.635, 365.111, 12.8836
zfp_dark_matter_density__abs3.71332, zfp_abs__8, 0.590497, 0.565554, 0.0071376, 96.1959, 197.431, 318.452, 9.21392
zfp_dark_matter_density__abs1.71332, zfp_abs__9, 0.300748, 0.289191, 0.00189168, 101.963, 176.074, 286.335, 7.15216
