Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_dark_matter_density__precision1, zfp_Abs_01, 5452.22, 1, 35.0495, 59.2846, 884.034, 1202.91, 204.8
zfp_dark_matter_density__precision2, zfp_Abs_02, 5452.22, 89.3396, 35.2594, 59.2587, 675.871, 1128.77, 179.25
zfp_dark_matter_density__precision3, zfp_Abs_03, 5452.22, 96.3215, 34.9438, 59.2978, 570.973, 1122.42, 160.113
zfp_dark_matter_density__precision4, zfp_Abs_04, 5452.22, 511.769, 36.3227, 59.1297, 478.33, 1028.75, 108.279
zfp_dark_matter_density__precision5, zfp_Abs_05, 4784.62, 960.806, 25.9224, 60.5947, 392.435, 800.003, 51.4684
zfp_dark_matter_density__precision6, zfp_Abs_06, 3504.62, 784.476, 15.2049, 62.9116, 320.774, 584.209, 24.8078
zfp_dark_matter_density__precision7, zfp_Abs_07, 2173.74, 333.307, 6.60296, 66.5341, 273.837, 457.564, 14.6364
zfp_dark_matter_density__precision8, zfp_Abs_08, 825.221, 341.806, 2.18526, 71.3364, 243.178, 386.01, 10.1013
zfp_dark_matter_density__precision9, zfp_Abs_09, 604.993, 100.668, 0.620012, 76.8075, 224.786, 345.163, 7.67701
zfp_dark_matter_density__precision10, zfp_Abs_10, 274.996, 53.7035, 0.156501, 82.7863, 208.118, 310.555, 6.1897
zfp_dark_matter_density__precision11, zfp_Abs_11, 164.843, 28.0046, 0.0404246, 88.665, 195.918, 286.359, 5.18594
zfp_dark_matter_density__precision12, zfp_Abs_12, 55.9861, 20.6107, 0.00986844, 94.789, 187.737, 268.69, 4.46261
zfp_dark_matter_density__precision13, zfp_Abs_13, 40.0554, 10.406, 0.00250411, 100.745, 176.214, 248.224, 3.91641
zfp_dark_matter_density__precision14, zfp_Abs_14, 19.799, 6.05632, 0.000620458, 106.804, 167.532, 232.808, 3.48936
zfp_dark_matter_density__precision15, zfp_Abs_15, 12.321, 2.86402, 0.000158432, 112.733, 159.834, 218.956, 3.14628
zfp_dark_matter_density__precision16, zfp_Abs_16, 5.66621, 1.40699, 3.94174e-05, 118.775, 152.931, 207.258, 2.86462
zfp_dark_matter_density__precision17, zfp_Abs_17, 2.87016, 0.758552, 9.80605e-06, 124.817, 147.079, 196.876, 2.62925
zfp_dark_matter_density__precision18, zfp_Abs_18, 1.31567, 0.284195, 2.44341e-06, 130.852, 142.035, 187.845, 2.42963
zfp_dark_matter_density__precision19, zfp_Abs_19, 0.565186, 0.129231, 6.08655e-07, 136.888, 136.149, 178.47, 2.25817
zfp_dark_matter_density__precision20, zfp_Abs_20, 0.429153, 0.0810669, 1.51778e-07, 142.919, 130.578, 170.126, 2.10932
zfp_dark_matter_density__precision21, zfp_Abs_21, 0.163086, 0.0327985, 3.83682e-08, 148.892, 126.334, 162.81, 1.97888
zfp_dark_matter_density__precision22, zfp_Abs_22, 0.0673828, 0.0164513, 9.5522e-09, 154.93, 121.882, 156.14, 1.86363
zfp_dark_matter_density__precision23, zfp_Abs_23, 0.0453949, 0.00714747, 2.40622e-09, 160.918, 117.233, 149.6, 1.76107
zfp_dark_matter_density__precision24, zfp_Abs_24, 0.0215454, 0.00408161, 6.00969e-10, 166.943, 115.125, 146.217, 1.66921
zfp_dark_matter_density__precision25, zfp_Abs_25, 0.00762939, 0.00167805, 1.4914e-10, 172.996, 109.382, 138.366, 1.58646
zfp_dark_matter_density__precision26, zfp_Abs_26, 0.00616455, 0.000834715, 3.76228e-11, 178.977, 107.36, 134.211, 1.51152
zfp_dark_matter_density__precision27, zfp_Abs_27, 0.00250244, 0.00048244, 9.38828e-12, 185.006, 104.064, 129.704, 1.44334
zfp_dark_matter_density__precision28, zfp_Abs_28, 0.00132751, 0.000228763, 2.36054e-12, 191.001, 101.249, 125.463, 1.38105
zfp_dark_matter_density__precision29, zfp_Abs_29, 0.000534058, 0.00012219, 6.22848e-13, 196.788, 98.3479, 121.272, 1.32391
zfp_dark_matter_density__precision30, zfp_Abs_30, 0.000289917, 7.64132e-05, 1.6447e-13, 202.571, 94.9248, 117.06, 1.27132
zfp_dark_matter_density__precision31, zfp_Abs_31, 0.000244141, 4.08762e-05, 6.04248e-14, 206.919, 93.6342, 114.712, 1.22274
zfp_dark_matter_density__precision32, zfp_Abs_32, 0.00012207, 2.17224e-05, 1.9044e-14, 211.934, 90.6395, 110.66, 1.17774
