Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
zfp_dark_matter_density__abs405.4176, zfp_abs__01, 65.4095, 55.4841, 3.13221, 69.773, 819.991, 1244.45, 229.676
zfp_dark_matter_density__abs395.4176, zfp_abs__01, 65.4095, 55.4841, 3.13221, 69.773, 839.672, 1299.18, 229.676
zfp_dark_matter_density__abs385.4176, zfp_abs__01, 65.4095, 55.4841, 3.13221, 69.773, 827.531, 1288.16, 229.676
zfp_dark_matter_density__abs375.4176, zfp_abs__01, 65.4095, 55.4841, 3.13221, 69.773, 840.749, 1301.27, 229.676
zfp_dark_matter_density__abs365.4176, zfp_abs__01, 65.4095, 55.4841, 3.13221, 69.773, 828.342, 1265.65, 229.676
zfp_dark_matter_density__abs355.4176, zfp_abs__01, 65.4095, 55.4841, 3.13221, 69.773, 830.053, 1289.43, 229.676
zfp_dark_matter_density__abs345.4176, zfp_abs__02, 65.4095, 55.4841, 3.13221, 69.773, 826.299, 1287.93, 229.676
zfp_dark_matter_density__abs335.4176, zfp_abs__03, 65.4095, 55.4841, 3.13221, 69.773, 825.463, 1287.56, 229.676
zfp_dark_matter_density__abs325.4176, zfp_abs__04, 65.4095, 55.4841, 3.13221, 69.773, 824.998, 1270.77, 229.676
zfp_dark_matter_density__abs315.4176, zfp_abs__05, 65.4095, 55.4841, 3.13221, 69.773, 828.742, 1282.37, 229.676
zfp_dark_matter_density__abs305.4176, zfp_abs__06, 65.4095, 55.4841, 3.13221, 69.773, 829.322, 1282.41, 229.676
zfp_dark_matter_density__abs295.4176, zfp_abs__07, 65.4095, 55.4841, 3.13221, 69.773, 830.781, 1293.09, 229.676
zfp_dark_matter_density__abs285.4176, zfp_abs__08, 65.4095, 55.4841, 3.13221, 69.773, 821.236, 1284.3, 229.676
zfp_dark_matter_density__abs275.4176, zfp_abs__09, 65.4095, 55.4841, 3.13221, 69.773, 828.857, 1281.8, 229.676
zfp_dark_matter_density__abs265.4176, zfp_abs__11, 65.4095, 55.4841, 3.13221, 69.773, 827.053, 1289.41, 229.676
zfp_dark_matter_density__abs255.4176, zfp_abs__12, 32.9331, 29.693, 1.6831, 72.4704, 599.165, 1024.78, 132.926
zfp_dark_matter_density__abs245.4176, zfp_abs__13, 32.9331, 29.693, 1.6831, 72.4704, 597.73, 1019.67, 132.926
zfp_dark_matter_density__abs235.4176, zfp_abs__14, 32.9331, 29.693, 1.6831, 72.4704, 605.763, 1028.6, 132.926
zfp_dark_matter_density__abs225.4176, zfp_abs__15, 32.9331, 29.693, 1.6831, 72.4704, 597.212, 1019.55, 132.926
zfp_dark_matter_density__abs215.4176, zfp_abs__16, 32.9331, 29.693, 1.6831, 72.4704, 601.686, 1023.22, 132.926
zfp_dark_matter_density__abs205.4176, zfp_abs__17, 32.9331, 29.693, 1.6831, 72.4704, 594.58, 1014.15, 132.926
zfp_dark_matter_density__abs195.4176, zfp_abs__18, 32.9331, 29.693, 1.6831, 72.4704, 591.808, 1000.07, 132.926
zfp_dark_matter_density__abs185.4176, zfp_abs__19, 32.9331, 29.693, 1.6831, 72.4704, 596.154, 1018.3, 132.926
zfp_dark_matter_density__abs175.4176, zfp_abs__20, 32.9331, 29.693, 1.6831, 72.4704, 579.689, 992.156, 132.926
zfp_dark_matter_density__abs165.4176, zfp_abs__21, 32.9331, 29.693, 1.6831, 72.4704, 597.633, 1017.97, 132.926
zfp_dark_matter_density__abs155.7038, zfp_abs__22, 32.9331, 29.693, 1.6831, 72.4704, 593.999, 1017.65, 132.926
zfp_dark_matter_density__abs145.9918, zfp_abs__23, 32.9331, 29.693, 1.6831, 72.4704, 593.736, 1024.67, 132.926
zfp_dark_matter_density__abs135.2798, zfp_abs__24, 32.9331, 29.693, 1.6831, 72.4704, 600.492, 1019.69, 132.926
zfp_dark_matter_density__abs125.5666, zfp_abs__25, 18.1521, 18.1521, 0.794322, 75.7315, 496.409, 936.457, 94.3756
zfp_dark_matter_density__abs115.8534, zfp_abs__26, 18.1521, 18.1521, 0.794322, 75.7315, 495.872, 938.197, 94.3756
zfp_dark_matter_density__abs105.1396, zfp_abs__27, 18.1521, 18.1521, 0.794322, 75.7315, 501.326, 950.276, 94.3756
zfp_dark_matter_density__abs95.1396, zfp_abs__28, 18.1521, 18.1521, 0.794322, 75.7315, 500.543, 941.483, 94.3756
zfp_dark_matter_density__abs85.1396, zfp_abs__29, 18.1521, 18.1521, 0.794322, 75.7315, 498.149, 937.356, 94.3756
zfp_dark_matter_density__abs75.1396, zfp_abs__30, 18.1521, 18.1521, 0.794322, 75.7315, 500.929, 938.665, 94.3756
zfp_dark_matter_density__abs65.1396, zfp_abs__31, 18.1521, 18.1521, 0.794322, 75.7315, 496.158, 942.477, 94.3756
zfp_dark_matter_density__abs55.1396, zfp_abs__32, 8.90072, 8.90072, 0.332576, 79.5126, 420.967, 831.344, 62.6486
zfp_dark_matter_density__abs45.1396, zfp_abs__33, 8.90072, 8.90072, 0.332576, 79.5126, 421.279, 833.402, 62.6486
zfp_dark_matter_density__abs35.1396, zfp_abs__34, 8.90072, 8.90072, 0.332576, 79.5126, 422.499, 839.702, 62.6486
zfp_dark_matter_density__abs25.1396, zfp_abs__35, 4.57493, 4.13933, 0.144353, 83.1372, 351.825, 686.219, 36.9768
zfp_dark_matter_density__abs24.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 355.779, 690.435, 36.9768
zfp_dark_matter_density__abs23.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 358.249, 690.621, 36.9768
zfp_dark_matter_density__abs22.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 352.553, 690.298, 36.9768
zfp_dark_matter_density__abs21.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 354.229, 694.049, 36.9768
zfp_dark_matter_density__abs20.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 352.503, 685.758, 36.9768
zfp_dark_matter_density__abs19.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 355.814, 686.384, 36.9768
zfp_dark_matter_density__abs18.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 352.199, 686.583, 36.9768
zfp_dark_matter_density__abs17.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 361.469, 702.54, 36.9768
zfp_dark_matter_density__abs16.1396, zfp_abs__36, 4.57493, 4.13933, 0.144353, 83.1372, 355.877, 685.127, 36.9768
zfp_dark_matter_density__abs15.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 296.877, 525.895, 20.509
zfp_dark_matter_density__abs14.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 296.217, 528.55, 20.509
zfp_dark_matter_density__abs13.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 296.425, 528.93, 20.509
zfp_dark_matter_density__abs12.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 295.515, 528.016, 20.509
zfp_dark_matter_density__abs11.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 304.145, 538.215, 20.509
zfp_dark_matter_density__abs10.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 297.98, 530.866, 20.509
zfp_dark_matter_density__abs9.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 300.124, 532.907, 20.509
zfp_dark_matter_density__abs8.1396, zfp_abs__36, 2.38846, 2.19491, 0.061818, 86.8203, 300.625, 533.296, 20.509
zfp_dark_matter_density__abs7.1396, zfp_abs__36, 1.28567, 1.28567, 0.023212, 91.0743, 260.076, 426.055, 12.8836
zfp_dark_matter_density__abs6.1396, zfp_abs__36, 1.28567, 1.28567, 0.023212, 91.0743, 256.486, 424.631, 12.8836
zfp_dark_matter_density__abs5.71332, zfp_abs__37, 1.28567, 1.28567, 0.023212, 91.0743, 257.266, 425.508, 12.8836
zfp_dark_matter_density__abs4.71332, zfp_abs__37, 1.28567, 1.28567, 0.023212, 91.0743, 261.231, 430.976, 12.8836
zfp_dark_matter_density__abs3.71332, zfp_abs__37, 0.590497, 0.565554, 0.0071376, 96.1959, 232.468, 366.537, 9.21392
