Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
SZ_dark_matter_density__rel0.009, sz_rel__9E-3, 49.0696, 49.0245, 3.7426, 68.9997, 261.36, 634.242, 721.898
SZ_dark_matter_density__rel0.008, sz_rel__8E-3, 43.6173, 43.5967, 3.40324, 69.4125, 253.981, 645.051, 646.582
SZ_dark_matter_density__rel0.007, sz_rel__7E-3, 38.1653, 38.1514, 3.05949, 69.875, 257.354, 639.4, 565.824
SZ_dark_matter_density__rel0.006, sz_rel__6E-3, 32.7133, 32.6539, 2.68963, 70.4345, 254.275, 637.989, 487.995
SZ_dark_matter_density__rel0.005, sz_rel__5E-3, 27.2611, 27.2588, 2.30006, 71.1141, 250.831, 633.734, 409.56
SZ_dark_matter_density__rel0.004, sz_rel__4E-3, 21.8089, 21.7948, 1.88581, 71.9765, 248.893, 629.845, 330.631
SZ_dark_matter_density__rel0.003, sz_rel__3E-3, 16.3566, 16.3546, 1.44693, 73.127, 245.468, 616.755, 252.308
SZ_dark_matter_density__rel0.002, sz_rel__2E-3, 10.9044, 10.9042, 0.984253, 74.8004, 244.124, 596.469, 173.431
SZ_dark_matter_density__rel0.001, sz_rel__1E-3, 5.45222, 5.45222, 0.493822, 77.7958, 233.383, 544.461, 93.8534
zfp_dark_matter_density__abs490.696, zfp_rel__9E-2, 65.4095, 55.4841, 3.13221, 69.773, 849.801, 1308.84, 229.676
zfp_dark_matter_density__abs460.696, zfp_rel__85E-2, 65.4095, 55.4841, 3.13221, 69.773, 835.505, 1289.91, 229.676
zfp_dark_matter_density__abs436.173, zfp_rel__8E-2, 65.4095, 55.4841, 3.13221, 69.773, 851.552, 1313.95, 229.676
zfp_dark_matter_density__abs406.173, zfp_rel__75E-2, 65.4095, 55.4841, 3.13221, 69.773, 838.727, 1289.47, 229.676
zfp_dark_matter_density__abs381.653, zfp_rel__7E-2, 65.4095, 55.4841, 3.13221, 69.773, 833.087, 1296.68, 229.676
zfp_dark_matter_density__abs351.653, zfp_rel__65E-2, 65.4095, 55.4841, 3.13221, 69.773, 850.58, 1308.85, 229.676
zfp_dark_matter_density__abs327.133, zfp_rel__6E-2, 65.4095, 55.4841, 3.13221, 69.773, 831.009, 1294.82, 229.676
zfp_dark_matter_density__abs307.133, zfp_rel__55E-2, 65.4095, 55.4841, 3.13221, 69.773, 829.042, 1292.26, 229.676
zfp_dark_matter_density__abs272.611, zfp_rel__5E-2, 65.4095, 55.4841, 3.13221, 69.773, 840.545, 1283.84, 229.676
zfp_dark_matter_density__abs248.089, zfp_rel__45E-2, 32.9331, 29.693, 1.6831, 72.4704, 608.873, 1028.29, 132.926
zfp_dark_matter_density__abs218.089, zfp_rel__4E-2, 32.9331, 29.693, 1.6831, 72.4704, 607.977, 1032.61, 132.926
zfp_dark_matter_density__abs188.089, zfp_rel__35E-2, 32.9331, 29.693, 1.6831, 72.4704, 611.702, 1041.59, 132.926
zfp_dark_matter_density__abs163.566, zfp_rel__3E-2, 32.9331, 29.693, 1.6831, 72.4704, 606.13, 1019.38, 132.926
zfp_dark_matter_density__abs133.566, zfp_rel__25E-2, 32.9331, 29.693, 1.6831, 72.4704, 606.236, 1027.89, 132.926
zfp_dark_matter_density__abs109.044, zfp_rel__2E-2, 18.1521, 18.1521, 0.794322, 75.7315, 505.472, 956.219, 94.3756
zfp_dark_matter_density__abs80.0444, zfp_rel__15E-2, 18.1521, 18.1521, 0.794322, 75.7315, 501.242, 944.958, 94.3756
zfp_dark_matter_density__abs54.5222, zfp_rel__1E-2, 8.90072, 8.90072, 0.332576, 79.5126, 422.45, 831.861, 62.6486
