Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.12106
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10411
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10767
zfp_vx__rel2, zfp_rel_2_, 7.23438, 7.23438, 1.8075, 11.1157, 65.8017, 269.119, 274.066
zfp_vy__rel2, zfp_rel_2_, 0.890401, 0.890401, 0.0135481, 12.2616, 65.8017, 269.119, 278.211
zfp_vz__rel2, zfp_rel_2_, 2.02017, 2.02017, 0.13214, 7.8079, 65.8017, 269.119, 277.768
zfp_vx__rel1, zfp_rel_1_, 11.7447, 7.3228, 2.64852, 9.45641, 65.8017, 269.119, 310.966
zfp_vy__rel1, zfp_rel_1_, 1.09811, 1.09811, 0.0153724, 11.7129, 65.8017, 269.119, 311.983
zfp_vz__rel1, zfp_rel_1_, 2.08743, 2.08743, 0.1516, 7.21126, 65.8017, 269.119, 311.844
zfp_vx__rate0.2, zfp_rate_0.2_, 11.7447, 7.3228, 2.64852, 9.45641, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.09811, 1.09811, 0.0153724, 11.7129, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.08743, 2.08743, 0.1516, 7.21126, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 5.84885, 4.53198, 0.240908, 19.8679, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.823399, 0.823399, 0.00414463, 17.4055, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 2.142, 2.142, 0.0398485, 13.0141, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.57298, 3.57298, 0.0709365, 25.1778, 65.8017, 269.119, 300.28
SZ_vy__rel0.8, SZ_rel_0.8_, 0.614769, 0.614769, 0.00197632, 20.6218, 65.8017, 269.119, 276.82
SZ_vz__rel0.8, SZ_rel_0.8_, 1.29011, 1.29011, 0.0195531, 16.1061, 65.8017, 269.119, 242.733
SZ_vx__rel0.9, SZ_rel_0.9_, 3.44736, 3.32308, 0.0734937, 25.0239, 65.8017, 269.119, 317.228
SZ_vy__rel0.9, SZ_rel_0.9_, 0.598276, 0.598276, 0.00200513, 20.5589, 65.8017, 269.119, 292.037
SZ_vz__rel0.9, SZ_rel_0.9_, 1.45206, 1.45206, 0.0197007, 16.0734, 65.8017, 269.119, 257.229
SZ_vx__rel0.99, SZ_rel_0.99_, 3.26121, 3.26121, 0.0768362, 24.8308, 65.8017, 269.119, 331.71
SZ_vy__rel0.99, SZ_rel_0.99_, 0.640432, 0.640432, 0.00202985, 20.5057, 65.8017, 269.119, 305.035
SZ_vz__rel0.99, SZ_rel_0.99_, 1.44072, 1.44072, 0.0198706, 16.0361, 65.8017, 269.119, 269.843
