Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11827
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10165
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10503
zfp_vx__rel2, zfp_rel_2_, 7.77812, 7.77812, 1.79489, 11.9793, 65.8017, 269.119, 273.78
zfp_vy__rel2, zfp_rel_2_, 0.743686, 0.743686, 0.0132533, 11.8144, 65.8017, 269.119, 279.025
zfp_vz__rel2, zfp_rel_2_, 1.65171, 1.65171, 0.125329, 7.74756, 65.8017, 269.119, 277.768
zfp_vx__rel1, zfp_rel_1_, 7.16076, 7.16076, 2.56637, 10.4265, 65.8017, 269.119, 311.058
zfp_vy__rel1, zfp_rel_1_, 0.931184, 0.931184, 0.0142182, 11.5092, 65.8017, 269.119, 312.309
zfp_vz__rel1, zfp_rel_1_, 2.17173, 2.17173, 0.150313, 6.9581, 65.8017, 269.119, 311.659
zfp_vx__rate0.2, zfp_rate_0.2_, 7.16076, 7.16076, 2.56637, 10.4265, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.931184, 0.931184, 0.0142182, 11.5092, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.17173, 2.17173, 0.150313, 6.9581, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.24882, 5.74323, 0.245264, 20.6234, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.76175, 0.76175, 0.00405997, 16.9524, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.91631, 1.91631, 0.0402502, 12.6804, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.24683, 3.12089, 0.0719036, 25.9522, 65.8017, 269.119, 299.668
SZ_vy__rel0.8, SZ_rel_0.8_, 0.481397, 0.481397, 0.00198634, 20.0571, 65.8017, 269.119, 277.511
SZ_vz__rel0.8, SZ_rel_0.8_, 1.23611, 1.23611, 0.0194538, 15.838, 65.8017, 269.119, 240.803
SZ_vx__rel0.9, SZ_rel_0.9_, 3.24683, 3.23761, 0.0748816, 25.7759, 65.8017, 269.119, 316.796
SZ_vy__rel0.9, SZ_rel_0.9_, 0.474159, 0.474159, 0.00201661, 19.9914, 65.8017, 269.119, 293.488
SZ_vz__rel0.9, SZ_rel_0.9_, 1.38829, 1.38829, 0.0196343, 15.7979, 65.8017, 269.119, 254.919
SZ_vx__rel0.99, SZ_rel_0.99_, 3.26388, 3.26388, 0.0781536, 25.5902, 65.8017, 269.119, 330.703
SZ_vy__rel0.99, SZ_rel_0.99_, 0.492746, 0.492746, 0.00204022, 19.9409, 65.8017, 269.119, 307.478
SZ_vz__rel0.99, SZ_rel_0.99_, 1.49675, 1.49675, 0.0197744, 15.767, 65.8017, 269.119, 267.601
