Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11833
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1021
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10523
zfp_vx__rel2, zfp_rel_2_, 7.84011, 7.84011, 1.81702, 11.4942, 65.8017, 269.119, 273.887
zfp_vy__rel2, zfp_rel_2_, 0.715734, 0.715734, 0.0133635, 11.5093, 65.8017, 269.119, 279.099
zfp_vz__rel2, zfp_rel_2_, 1.84056, 1.84056, 0.124915, 7.84347, 65.8017, 269.119, 277.732
zfp_vx__rel1, zfp_rel_1_, 7.2809, 7.2809, 2.57766, 9.97549, 65.8017, 269.119, 310.966
zfp_vy__rel1, zfp_rel_1_, 0.904012, 0.904012, 0.0143268, 11.207, 65.8017, 269.119, 312.402
zfp_vz__rel1, zfp_rel_1_, 2.19427, 2.19427, 0.150182, 7.04347, 65.8017, 269.119, 311.751
zfp_vx__rate0.2, zfp_rate_0.2_, 7.2809, 7.2809, 2.57766, 9.97549, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.904012, 0.904012, 0.0143268, 11.207, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.19427, 2.19427, 0.150182, 7.04347, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.19769, 5.61857, 0.244384, 20.207, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.783034, 0.783034, 0.00407255, 16.6699, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 2.17885, 2.17885, 0.0399263, 12.797, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.26633, 3.09591, 0.0717925, 25.527, 65.8017, 269.119, 297.147
SZ_vy__rel0.8, SZ_rel_0.8_, 0.50744, 0.50744, 0.00196702, 19.8304, 65.8017, 269.119, 279.774
SZ_vz__rel0.8, SZ_rel_0.8_, 1.2821, 1.2821, 0.0193037, 15.9532, 65.8017, 269.119, 242.365
SZ_vx__rel0.9, SZ_rel_0.9_, 3.17109, 3.17109, 0.074416, 25.3711, 65.8017, 269.119, 314.392
SZ_vy__rel0.9, SZ_rel_0.9_, 0.50744, 0.50744, 0.00199402, 19.7712, 65.8017, 269.119, 296.428
SZ_vz__rel0.9, SZ_rel_0.9_, 1.29075, 1.29075, 0.0194521, 15.92, 65.8017, 269.119, 257.083
SZ_vx__rel0.99, SZ_rel_0.99_, 3.21834, 2.99041, 0.0772746, 25.2074, 65.8017, 269.119, 330.091
SZ_vy__rel0.99, SZ_rel_0.99_, 0.515238, 0.515238, 0.00202059, 19.7137, 65.8017, 269.119, 309.172
SZ_vz__rel0.99, SZ_rel_0.99_, 1.27519, 1.27519, 0.0196013, 15.8868, 65.8017, 269.119, 270.03
