Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11962
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10439
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10766
zfp_vx__rel2, zfp_rel_2_, 8.08672, 8.08672, 1.78194, 11.5115, 65.8017, 269.119, 273.923
zfp_vy__rel2, zfp_rel_2_, 0.749466, 0.749466, 0.0136124, 11.7917, 65.8017, 269.119, 278.063
zfp_vz__rel2, zfp_rel_2_, 1.87165, 1.87165, 0.129376, 7.80586, 65.8017, 269.119, 277.953
zfp_vx__rel1, zfp_rel_1_, 11.9753, 7.61561, 2.65752, 9.77563, 65.8017, 269.119, 310.781
zfp_vy__rel1, zfp_rel_1_, 1.04663, 1.04663, 0.0151865, 11.3165, 65.8017, 269.119, 311.983
zfp_vz__rel1, zfp_rel_1_, 2.28415, 2.28415, 0.15198, 7.10652, 65.8017, 269.119, 311.798
zfp_vx__rate0.2, zfp_rate_0.2_, 11.9753, 7.61561, 2.65752, 9.77563, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.04663, 1.04663, 0.0151865, 11.3165, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.28415, 2.28415, 0.15198, 7.10652, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 5.86287, 5.23803, 0.242822, 20.1675, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.749466, 0.749466, 0.00405151, 17.0549, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.94497, 1.94497, 0.0394872, 12.9598, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.2421, 2.67423, 0.0713895, 25.4841, 65.8017, 269.119, 298.628
SZ_vy__rel0.8, SZ_rel_0.8_, 0.558088, 0.558088, 0.00193189, 20.2713, 65.8017, 269.119, 276.665
SZ_vz__rel0.8, SZ_rel_0.8_, 1.38321, 1.38321, 0.0190341, 16.1291, 65.8017, 269.119, 241.416
SZ_vx__rel0.9, SZ_rel_0.9_, 3.2421, 2.6596, 0.0742057, 25.316, 65.8017, 269.119, 317.174
SZ_vy__rel0.9, SZ_rel_0.9_, 0.5452, 0.5452, 0.00196096, 20.2064, 65.8017, 269.119, 293.616
SZ_vz__rel0.9, SZ_rel_0.9_, 1.42847, 1.42847, 0.01919, 16.0936, 65.8017, 269.119, 255.415
SZ_vx__rel0.99, SZ_rel_0.99_, 3.2421, 2.8652, 0.0772078, 25.1438, 65.8017, 269.119, 331.042
SZ_vy__rel0.99, SZ_rel_0.99_, 0.538499, 0.538499, 0.00198941, 20.1438, 65.8017, 269.119, 305.98
SZ_vz__rel0.99, SZ_rel_0.99_, 1.58153, 1.58153, 0.0193371, 16.0605, 65.8017, 269.119, 268.779
