Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11969
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10013
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10424
zfp_vx__rel2, zfp_rel_2_, 7.63389, 7.63389, 1.75941, 11.3363, 65.8017, 269.119, 273.565
zfp_vy__rel2, zfp_rel_2_, 0.867155, 0.867155, 0.0131745, 12.9342, 65.8017, 269.119, 279.136
zfp_vz__rel2, zfp_rel_2_, 1.6633, 1.6633, 0.12473, 8.00808, 65.8017, 269.119, 277.953
zfp_vx__rel1, zfp_rel_1_, 7.37078, 7.37078, 2.50845, 9.79593, 65.8017, 269.119, 310.781
zfp_vy__rel1, zfp_rel_1_, 1.02485, 1.02485, 0.013948, 12.6864, 65.8017, 269.119, 312.262
zfp_vz__rel1, zfp_rel_1_, 2.15489, 2.15489, 0.148376, 7.25416, 65.8017, 269.119, 311.751
zfp_vx__rate0.2, zfp_rate_0.2_, 7.37078, 7.37078, 2.50845, 9.79593, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.02485, 1.02485, 0.013948, 12.6864, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.15489, 2.15489, 0.148376, 7.25416, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.01716, 6.01716, 0.236176, 20.0576, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.775879, 0.775879, 0.0041548, 17.946, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.83002, 1.83002, 0.0403476, 12.9096, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.18064, 3.18064, 0.0717079, 25.2343, 65.8017, 269.119, 298.5
SZ_vy__rel0.8, SZ_rel_0.8_, 0.518743, 0.518743, 0.00205625, 21.0008, 65.8017, 269.119, 278.83
SZ_vz__rel0.8, SZ_rel_0.8_, 1.2105, 1.2105, 0.0196151, 16.0419, 65.8017, 269.119, 240.782
SZ_vx__rel0.9, SZ_rel_0.9_, 3.15906, 3.15906, 0.0744155, 25.0734, 65.8017, 269.119, 315.64
SZ_vy__rel0.9, SZ_rel_0.9_, 0.539846, 0.539846, 0.00208799, 20.9342, 65.8017, 269.119, 294.518
SZ_vz__rel0.9, SZ_rel_0.9_, 1.3339, 1.3339, 0.0197628, 16.0093, 65.8017, 269.119, 255.264
SZ_vx__rel0.99, SZ_rel_0.99_, 3.21687, 3.21687, 0.076987, 24.9258, 65.8017, 269.119, 330.442
SZ_vy__rel0.99, SZ_rel_0.99_, 0.518373, 0.518373, 0.00211243, 20.8837, 65.8017, 269.119, 307.991
SZ_vz__rel0.99, SZ_rel_0.99_, 1.34759, 1.34759, 0.0199167, 15.9756, 65.8017, 269.119, 267.895
