Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11909
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10429
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1072
zfp_vx__rel2, zfp_rel_2_, 7.66665, 7.66665, 1.80459, 11.3913, 65.8017, 269.119, 274.066
zfp_vy__rel2, zfp_rel_2_, 0.66744, 0.66744, 0.0136083, 11.6071, 65.8017, 269.119, 278.174
zfp_vz__rel2, zfp_rel_2_, 1.65081, 1.65081, 0.128782, 7.80873, 65.8017, 269.119, 277.585
zfp_vx__rel1, zfp_rel_1_, 11.9015, 7.93548, 2.63644, 9.74491, 65.8017, 269.119, 310.919
zfp_vy__rel1, zfp_rel_1_, 1.11906, 1.11906, 0.0150797, 11.1612, 65.8017, 269.119, 312.076
zfp_vz__rel1, zfp_rel_1_, 2.2107, 2.2107, 0.152209, 7.08288, 65.8017, 269.119, 311.751
zfp_vx__rate0.2, zfp_rate_0.2_, 11.9015, 7.93548, 2.63644, 9.74491, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.11906, 1.11906, 0.0150797, 11.1612, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.2107, 2.2107, 0.152209, 7.08288, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.55002, 6.55002, 0.242365, 20.1104, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.69178, 0.69178, 0.00404192, 16.8793, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.95453, 1.95453, 0.0394784, 12.9437, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.44049, 2.99696, 0.0717671, 25.3958, 65.8017, 269.119, 298.341
SZ_vy__rel0.8, SZ_rel_0.8_, 0.547839, 0.547839, 0.00193934, 20.0686, 65.8017, 269.119, 277.736
SZ_vz__rel0.8, SZ_rel_0.8_, 1.35812, 1.35812, 0.0192307, 16.0674, 65.8017, 269.119, 241.673
SZ_vx__rel0.9, SZ_rel_0.9_, 3.44049, 2.93593, 0.0747533, 25.2188, 65.8017, 269.119, 315.13
SZ_vy__rel0.9, SZ_rel_0.9_, 0.526224, 0.526224, 0.00196666, 20.0079, 65.8017, 269.119, 293.339
SZ_vz__rel0.9, SZ_rel_0.9_, 1.45819, 1.45819, 0.0193894, 16.0317, 65.8017, 269.119, 255.735
SZ_vx__rel0.99, SZ_rel_0.99_, 3.44049, 2.87229, 0.0776425, 25.0541, 65.8017, 269.119, 331.907
SZ_vy__rel0.99, SZ_rel_0.99_, 0.535954, 0.535954, 0.0019933, 19.9494, 65.8017, 269.119, 307.444
SZ_vz__rel0.99, SZ_rel_0.99_, 1.40713, 1.40713, 0.0195408, 15.9979, 65.8017, 269.119, 267.375
