Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1204
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10577
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10983
zfp_vx__rel2, zfp_rel_2_, 7.61838, 7.61838, 1.86973, 11.1516, 65.8017, 269.119, 273.53
zfp_vy__rel2, zfp_rel_2_, 0.68104, 0.68104, 0.0137852, 12.0528, 65.8017, 269.119, 278.285
zfp_vz__rel2, zfp_rel_2_, 1.81578, 1.81578, 0.13435, 7.68903, 65.8017, 269.119, 277.511
zfp_vx__rel1, zfp_rel_1_, 7.46034, 7.46034, 2.80909, 9.38372, 65.8017, 269.119, 311.058
zfp_vy__rel1, zfp_rel_1_, 0.936261, 0.936261, 0.0154496, 11.5578, 65.8017, 269.119, 311.983
zfp_vz__rel1, zfp_rel_1_, 2.12967, 2.12967, 0.152693, 7.13324, 65.8017, 269.119, 312.03
zfp_vx__rate0.2, zfp_rate_0.2_, 7.46034, 7.46034, 2.80909, 9.38372, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.936261, 0.936261, 0.0154496, 11.5578, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.12967, 2.12967, 0.152693, 7.13324, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 5.42714, 5.42714, 0.246986, 19.9426, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.807307, 0.807307, 0.00417867, 17.2366, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.91879, 1.91879, 0.0391326, 13.046, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 2.8396, 2.80041, 0.0711304, 25.3488, 65.8017, 269.119, 301.402
SZ_vy__rel0.8, SZ_rel_0.8_, 0.472335, 0.472335, 0.00201507, 20.4041, 65.8017, 269.119, 278.16
SZ_vz__rel0.8, SZ_rel_0.8_, 1.20302, 1.20302, 0.0191733, 16.1445, 65.8017, 269.119, 245.335
SZ_vx__rel0.9, SZ_rel_0.9_, 2.9303, 2.78492, 0.0740492, 25.1742, 65.8017, 269.119, 319.45
SZ_vy__rel0.9, SZ_rel_0.9_, 0.488641, 0.488641, 0.00204049, 20.3496, 65.8017, 269.119, 293.088
SZ_vz__rel0.9, SZ_rel_0.9_, 1.33275, 1.33275, 0.0193401, 16.1068, 65.8017, 269.119, 259.573
SZ_vx__rel0.99, SZ_rel_0.99_, 2.90995, 2.89943, 0.0773961, 24.9822, 65.8017, 269.119, 334.314
SZ_vy__rel0.99, SZ_rel_0.99_, 0.471031, 0.471031, 0.00207087, 20.2854, 65.8017, 269.119, 307.073
SZ_vz__rel0.99, SZ_rel_0.99_, 1.31502, 1.31502, 0.0195042, 16.0701, 65.8017, 269.119, 272.114
