Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11892
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10391
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10669
zfp_vx__rel2, zfp_rel_2_, 7.33305, 7.33305, 1.83259, 11.2105, 65.8017, 269.119, 274.102
zfp_vy__rel2, zfp_rel_2_, 0.687915, 0.687915, 0.0134874, 11.4916, 65.8017, 269.119, 278.1
zfp_vz__rel2, zfp_rel_2_, 1.63862, 1.63862, 0.12753, 7.83142, 65.8017, 269.119, 278.063
zfp_vx__rel1, zfp_rel_1_, 12.4746, 7.22155, 2.60073, 9.6902, 65.8017, 269.119, 310.966
zfp_vy__rel1, zfp_rel_1_, 1.06171, 1.06171, 0.014958, 11.0421, 65.8017, 269.119, 312.216
zfp_vz__rel1, zfp_rel_1_, 2.05479, 2.05479, 0.151305, 7.08899, 65.8017, 269.119, 311.705
zfp_vx__rate0.2, zfp_rate_0.2_, 12.4746, 7.22155, 2.60073, 9.6902, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.06171, 1.06171, 0.014958, 11.0421, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.05479, 2.05479, 0.151305, 7.08899, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.90211, 5.97718, 0.244426, 19.9597, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.746054, 0.746054, 0.0040705, 16.6944, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.68881, 1.68881, 0.0394867, 12.923, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.14926, 3.03734, 0.0723771, 25.2451, 65.8017, 269.119, 298.06
SZ_vy__rel0.8, SZ_rel_0.8_, 0.574191, 0.574191, 0.00191813, 19.9621, 65.8017, 269.119, 276
SZ_vz__rel0.8, SZ_rel_0.8_, 1.35697, 1.35697, 0.0190388, 16.0911, 65.8017, 269.119, 239.343
SZ_vx__rel0.9, SZ_rel_0.9_, 3.25105, 3.25105, 0.0752072, 25.0786, 65.8017, 269.119, 314.669
SZ_vy__rel0.9, SZ_rel_0.9_, 0.578263, 0.578263, 0.00194384, 19.9043, 65.8017, 269.119, 291.377
SZ_vz__rel0.9, SZ_rel_0.9_, 1.37424, 1.37424, 0.0191874, 16.0574, 65.8017, 269.119, 254.482
SZ_vx__rel0.99, SZ_rel_0.99_, 3.14926, 3.02283, 0.0781833, 24.91, 65.8017, 269.119, 329.398
SZ_vy__rel0.99, SZ_rel_0.99_, 0.559941, 0.559941, 0.00197247, 19.8408, 65.8017, 269.119, 305.212
SZ_vz__rel0.99, SZ_rel_0.99_, 1.34316, 1.34316, 0.0193452, 16.0218, 65.8017, 269.119, 266.195
