Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11881
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10383
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1065
zfp_vx__rel2, zfp_rel_2_, 6.77795, 5.54635, 1.83745, 11.2563, 65.8017, 269.119, 274.102
zfp_vy__rel2, zfp_rel_2_, 0.701684, 0.701684, 0.0134895, 11.3799, 65.8017, 269.119, 278.395
zfp_vz__rel2, zfp_rel_2_, 1.61967, 1.61967, 0.127392, 7.85619, 65.8017, 269.119, 277.842
zfp_vx__rel1, zfp_rel_1_, 11.5919, 7.28999, 2.59289, 9.76066, 65.8017, 269.119, 311.058
zfp_vy__rel1, zfp_rel_1_, 1.02724, 1.02724, 0.0148425, 10.9648, 65.8017, 269.119, 312.216
zfp_vz__rel1, zfp_rel_1_, 1.98664, 1.98664, 0.151197, 7.11218, 65.8017, 269.119, 311.705
zfp_vx__rate0.2, zfp_rate_0.2_, 11.5919, 7.28999, 2.59289, 9.76066, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.02724, 1.02724, 0.0148425, 10.9648, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 1.98664, 1.98664, 0.151197, 7.11218, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.51498, 6.40371, 0.243924, 20.026, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.833709, 0.833709, 0.00401816, 16.6396, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.81664, 1.81664, 0.039167, 12.9784, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.00271, 3.00271, 0.072364, 25.3033, 65.8017, 269.119, 298.378
SZ_vy__rel0.8, SZ_rel_0.8_, 0.518714, 0.518714, 0.00192804, 19.8287, 65.8017, 269.119, 276.3
SZ_vz__rel0.8, SZ_rel_0.8_, 1.35089, 1.35089, 0.0190502, 16.1086, 65.8017, 269.119, 240.282
SZ_vx__rel0.9, SZ_rel_0.9_, 3.03796, 3.03796, 0.0752427, 25.1339, 65.8017, 269.119, 314.192
SZ_vy__rel0.9, SZ_rel_0.9_, 0.518714, 0.518714, 0.00195175, 19.7756, 65.8017, 269.119, 292.439
SZ_vz__rel0.9, SZ_rel_0.9_, 1.4259, 1.4259, 0.0192132, 16.0716, 65.8017, 269.119, 254.582
SZ_vx__rel0.99, SZ_rel_0.99_, 3.15634, 3.15634, 0.0780662, 24.9739, 65.8017, 269.119, 330.28
SZ_vy__rel0.99, SZ_rel_0.99_, 0.537224, 0.537224, 0.00198065, 19.7118, 65.8017, 269.119, 305.646
SZ_vz__rel0.99, SZ_rel_0.99_, 1.45671, 1.45671, 0.0193769, 16.0348, 65.8017, 269.119, 266.745
