Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.12096
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10466
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10782
zfp_vx__rel2, zfp_rel_2_, 7.5198, 7.5198, 1.81193, 11.1133, 65.8017, 269.119, 273.708
zfp_vy__rel2, zfp_rel_2_, 0.750813, 0.750813, 0.0136356, 12.3434, 65.8017, 269.119, 278.211
zfp_vz__rel2, zfp_rel_2_, 1.67514, 1.67514, 0.13267, 7.73827, 65.8017, 269.119, 277.695
zfp_vx__rel1, zfp_rel_1_, 11.6695, 7.67179, 2.68503, 9.40524, 65.8017, 269.119, 310.689
zfp_vy__rel1, zfp_rel_1_, 1.0201, 1.0201, 0.0154114, 11.8118, 65.8017, 269.119, 311.891
zfp_vz__rel1, zfp_rel_1_, 2.1265, 2.1265, 0.151999, 7.14757, 65.8017, 269.119, 311.844
zfp_vx__rate0.2, zfp_rate_0.2_, 11.6695, 7.67179, 2.68503, 9.40524, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.0201, 1.0201, 0.0154114, 11.8118, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.1265, 2.1265, 0.151999, 7.14757, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 7.01099, 6.02445, 0.23847, 19.9204, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.887711, 0.887711, 0.00413502, 17.5254, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 2.10899, 2.10899, 0.0395054, 12.9994, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.8351, 3.77722, 0.0717774, 25.1349, 65.8017, 269.119, 300.548
SZ_vy__rel0.8, SZ_rel_0.8_, 0.507291, 0.507291, 0.00199325, 20.6945, 65.8017, 269.119, 277.686
SZ_vz__rel0.8, SZ_rel_0.8_, 1.23533, 1.23533, 0.019503, 16.065, 65.8017, 269.119, 243.844
SZ_vx__rel0.9, SZ_rel_0.9_, 3.8351, 3.77722, 0.0747137, 24.9607, 65.8017, 269.119, 317.534
SZ_vy__rel0.9, SZ_rel_0.9_, 0.505245, 0.505245, 0.00202026, 20.6361, 65.8017, 269.119, 292.822
SZ_vz__rel0.9, SZ_rel_0.9_, 1.24831, 1.24831, 0.0196665, 16.0287, 65.8017, 269.119, 258.904
SZ_vx__rel0.99, SZ_rel_0.99_, 3.8351, 3.77722, 0.0772371, 24.8165, 65.8017, 269.119, 333.007
SZ_vy__rel0.99, SZ_rel_0.99_, 0.529567, 0.529567, 0.0020469, 20.5792, 65.8017, 269.119, 307.528
SZ_vz__rel0.99, SZ_rel_0.99_, 1.30608, 1.30608, 0.0198202, 15.9949, 65.8017, 269.119, 271.81
