Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.12004
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1043
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10792
zfp_vx__rel2, zfp_rel_2_, 7.80828, 7.80828, 1.77545, 11.49, 65.8017, 269.119, 273.78
zfp_vy__rel2, zfp_rel_2_, 0.742406, 0.742406, 0.0135112, 11.8942, 65.8017, 269.119, 277.989
zfp_vz__rel2, zfp_rel_2_, 2.32624, 2.32624, 0.130364, 7.75555, 65.8017, 269.119, 277.621
zfp_vx__rel1, zfp_rel_1_, 12.2176, 7.58482, 2.66589, 9.72469, 65.8017, 269.119, 310.827
zfp_vy__rel1, zfp_rel_1_, 1.08879, 1.08879, 0.0152416, 11.3709, 65.8017, 269.119, 312.03
zfp_vz__rel1, zfp_rel_1_, 2.37063, 2.37063, 0.152209, 7.08271, 65.8017, 269.119, 311.612
zfp_vx__rate0.2, zfp_rate_0.2_, 12.2176, 7.58482, 2.66589, 9.72469, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 1.08879, 1.08879, 0.0152416, 11.3709, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.37063, 2.37063, 0.152209, 7.08271, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 4.83218, 4.67716, 0.241695, 20.1504, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.742406, 0.742406, 0.00406346, 17.1122, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 2.32624, 2.32624, 0.0397764, 12.9109, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.22082, 3.22082, 0.0714981, 25.4402, 65.8017, 269.119, 298.729
SZ_vy__rel0.8, SZ_rel_0.8_, 0.592586, 0.592586, 0.00193086, 20.3437, 65.8017, 269.119, 274.78
SZ_vz__rel0.8, SZ_rel_0.8_, 1.34317, 1.34317, 0.0191133, 16.0937, 65.8017, 269.119, 240.92
SZ_vx__rel0.9, SZ_rel_0.9_, 3.19124, 2.9382, 0.0749755, 25.2339, 65.8017, 269.119, 316.868
SZ_vy__rel0.9, SZ_rel_0.9_, 0.566799, 0.566799, 0.00195681, 20.2857, 65.8017, 269.119, 291.418
SZ_vz__rel0.9, SZ_rel_0.9_, 1.51126, 1.51126, 0.0192718, 16.0579, 65.8017, 269.119, 256.039
SZ_vx__rel0.99, SZ_rel_0.99_, 3.19124, 3.14065, 0.0771073, 25.1122, 65.8017, 269.119, 331.664
SZ_vy__rel0.99, SZ_rel_0.99_, 0.583521, 0.583521, 0.00198465, 20.2243, 65.8017, 269.119, 304.641
SZ_vz__rel0.99, SZ_rel_0.99_, 1.52615, 1.52615, 0.0194171, 16.0253, 65.8017, 269.119, 267.294
