Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11817
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10256
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10545
zfp_vx__rel2, zfp_rel_2_, 7.24682, 7.24682, 1.81639, 11.7183, 65.8017, 269.119, 273.887
zfp_vy__rel2, zfp_rel_2_, 0.709088, 0.709088, 0.0134848, 11.4148, 65.8017, 269.119, 278.728
zfp_vz__rel2, zfp_rel_2_, 1.85411, 1.85411, 0.125172, 7.89236, 65.8017, 269.119, 277.658
zfp_vx__rel1, zfp_rel_1_, 7.06457, 7.06457, 2.59172, 10.1745, 65.8017, 269.119, 310.827
zfp_vy__rel1, zfp_rel_1_, 0.914264, 0.914264, 0.0144355, 11.1189, 65.8017, 269.119, 312.216
zfp_vz__rel1, zfp_rel_1_, 2.17568, 2.17568, 0.150627, 7.08839, 65.8017, 269.119, 311.659
zfp_vx__rate0.2, zfp_rate_0.2_, 7.06457, 7.06457, 2.59172, 10.1745, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.914264, 0.914264, 0.0144355, 11.1189, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.17568, 2.17568, 0.150627, 7.08839, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.33804, 6.33804, 0.244063, 20.4354, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.748563, 0.748563, 0.00399037, 16.7031, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.77638, 1.77638, 0.0394638, 12.9054, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.21614, 3.01715, 0.0723468, 25.7162, 65.8017, 269.119, 298.469
SZ_vy__rel0.8, SZ_rel_0.8_, 0.523163, 0.523163, 0.00193817, 19.8393, 65.8017, 269.119, 281.016
SZ_vz__rel0.8, SZ_rel_0.8_, 1.33933, 1.33933, 0.0191552, 16.0446, 65.8017, 269.119, 243.303
SZ_vx__rel0.9, SZ_rel_0.9_, 3.21614, 3.1441, 0.0751954, 25.5485, 65.8017, 269.119, 315.456
SZ_vy__rel0.9, SZ_rel_0.9_, 0.518881, 0.518881, 0.00196636, 19.7766, 65.8017, 269.119, 296.664
SZ_vz__rel0.9, SZ_rel_0.9_, 1.36535, 1.36535, 0.019302, 16.0114, 65.8017, 269.119, 258.02
SZ_vx__rel0.99, SZ_rel_0.99_, 3.21614, 2.81937, 0.0779276, 25.3935, 65.8017, 269.119, 329.696
SZ_vy__rel0.99, SZ_rel_0.99_, 0.545855, 0.545855, 0.00199501, 19.7138, 65.8017, 269.119, 310.827
SZ_vz__rel0.99, SZ_rel_0.99_, 1.45123, 1.45123, 0.0194902, 15.9693, 65.8017, 269.119, 271.243
