Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11924
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1009
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10488
zfp_vx__rel2, zfp_rel_2_, 7.20268, 7.20268, 1.78038, 12.2835, 65.8017, 269.119, 273.815
zfp_vy__rel2, zfp_rel_2_, 0.739532, 0.739532, 0.0131572, 12.5727, 65.8017, 269.119, 279.062
zfp_vz__rel2, zfp_rel_2_, 1.79471, 1.79471, 0.12472, 7.97655, 65.8017, 269.119, 277.732
zfp_vx__rel1, zfp_rel_1_, 7.34377, 7.34377, 2.53393, 10.7507, 65.8017, 269.119, 310.827
zfp_vy__rel1, zfp_rel_1_, 0.922775, 0.922775, 0.014011, 12.2996, 65.8017, 269.119, 312.216
zfp_vz__rel1, zfp_rel_1_, 2.09208, 2.09208, 0.150206, 7.16904, 65.8017, 269.119, 311.798
zfp_vx__rate0.2, zfp_rate_0.2_, 7.34377, 7.34377, 2.53393, 10.7507, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.922775, 0.922775, 0.014011, 12.2996, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.09208, 2.09208, 0.150206, 7.16904, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.47088, 5.95425, 0.240487, 20.9778, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.854615, 0.854615, 0.00416102, 17.5723, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.69577, 1.69577, 0.0404788, 12.8636, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.33391, 3.26631, 0.0717538, 26.2302, 65.8017, 269.119, 299.059
SZ_vy__rel0.8, SZ_rel_0.8_, 0.470617, 0.470617, 0.00204194, 20.6639, 65.8017, 269.119, 278.082
SZ_vz__rel0.8, SZ_rel_0.8_, 1.34772, 1.34772, 0.0198202, 15.9648, 65.8017, 269.119, 241.295
SZ_vx__rel0.9, SZ_rel_0.9_, 3.33391, 3.29903, 0.0745808, 26.0624, 65.8017, 269.119, 314.728
SZ_vy__rel0.9, SZ_rel_0.9_, 0.482442, 0.482442, 0.00207108, 20.6023, 65.8017, 269.119, 294.389
SZ_vz__rel0.9, SZ_rel_0.9_, 1.29711, 1.29711, 0.0199883, 15.9281, 65.8017, 269.119, 256.642
SZ_vx__rel0.99, SZ_rel_0.99_, 3.33391, 3.24014, 0.0775517, 25.8928, 65.8017, 269.119, 329.981
SZ_vy__rel0.99, SZ_rel_0.99_, 0.478803, 0.478803, 0.00209569, 20.551, 65.8017, 269.119, 307.579
SZ_vz__rel0.99, SZ_rel_0.99_, 1.28951, 1.28951, 0.0201654, 15.8899, 65.8017, 269.119, 268.079
