Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.1189
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10114
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10491
zfp_vx__rel2, zfp_rel_2_, 7.27186, 7.27186, 1.78309, 12.4034, 65.8017, 269.119, 274.102
zfp_vy__rel2, zfp_rel_2_, 0.768419, 0.768419, 0.0131697, 12.5123, 65.8017, 269.119, 279.025
zfp_vz__rel2, zfp_rel_2_, 1.71383, 1.71383, 0.125365, 7.68159, 65.8017, 269.119, 277.916
zfp_vx__rel1, zfp_rel_1_, 7.51914, 7.51914, 2.52855, 10.8864, 65.8017, 269.119, 310.827
zfp_vy__rel1, zfp_rel_1_, 0.930763, 0.930763, 0.0140983, 12.2164, 65.8017, 269.119, 312.216
zfp_vz__rel1, zfp_rel_1_, 2.06949, 2.06949, 0.149658, 6.91236, 65.8017, 269.119, 311.751
zfp_vx__rate0.2, zfp_rate_0.2_, 7.51914, 7.51914, 2.52855, 10.8864, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.930763, 0.930763, 0.0140983, 12.2164, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.06949, 2.06949, 0.149658, 6.91236, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.53922, 6.16497, 0.239078, 21.1297, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.872237, 0.872237, 0.00418718, 17.4889, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.9373, 1.9373, 0.0405827, 12.5799, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.09981, 3.09981, 0.0717117, 26.3592, 65.8017, 269.119, 298.766
SZ_vy__rel0.8, SZ_rel_0.8_, 0.486985, 0.486985, 0.00201639, 20.6623, 65.8017, 269.119, 279.03
SZ_vz__rel0.8, SZ_rel_0.8_, 1.34859, 1.34859, 0.0196476, 15.7303, 65.8017, 269.119, 241.031
SZ_vx__rel0.9, SZ_rel_0.9_, 3.21252, 3.21252, 0.0745526, 26.1905, 65.8017, 269.119, 316.038
SZ_vy__rel0.9, SZ_rel_0.9_, 0.494162, 0.494162, 0.00204667, 20.5976, 65.8017, 269.119, 293.914
SZ_vz__rel0.9, SZ_rel_0.9_, 1.46463, 1.46463, 0.0197927, 15.6983, 65.8017, 269.119, 255.641
SZ_vx__rel0.99, SZ_rel_0.99_, 3.24633, 3.24633, 0.0777588, 26.0076, 65.8017, 269.119, 330.065
SZ_vy__rel0.99, SZ_rel_0.99_, 0.490932, 0.490932, 0.00207723, 20.5332, 65.8017, 269.119, 307.607
SZ_vz__rel0.99, SZ_rel_0.99_, 1.46463, 1.46463, 0.0199559, 15.6626, 65.8017, 269.119, 267.797
