Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.11835
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10356
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10589
zfp_vx__rel2, zfp_rel_2_, 7.59341, 7.59341, 1.84331, 11.7164, 65.8017, 269.119, 273.958
zfp_vy__rel2, zfp_rel_2_, 0.731328, 0.731328, 0.0134604, 11.2669, 65.8017, 269.119, 278.543
zfp_vz__rel2, zfp_rel_2_, 1.82656, 1.82656, 0.125467, 7.90717, 65.8017, 269.119, 277.511
zfp_vx__rel1, zfp_rel_1_, 11.0552, 7.6276, 2.5748, 10.2649, 65.8017, 269.119, 311.012
zfp_vy__rel1, zfp_rel_1_, 0.972468, 0.972468, 0.0146172, 10.9089, 65.8017, 269.119, 312.123
zfp_vz__rel1, zfp_rel_1_, 2.48567, 2.48567, 0.151279, 7.09468, 65.8017, 269.119, 311.705
zfp_vx__rate0.2, zfp_rate_0.2_, 11.0552, 7.6276, 2.5748, 10.2649, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.972468, 0.972468, 0.0146172, 10.9089, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 2.48567, 2.48567, 0.151279, 7.09468, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 6.103, 5.83101, 0.244272, 20.4936, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.901921, 0.901921, 0.00399523, 16.5421, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.81395, 1.81395, 0.0391385, 12.9664, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 3.13639, 3.13639, 0.0723138, 25.7801, 65.8017, 269.119, 296.695
SZ_vy__rel0.8, SZ_rel_0.8_, 0.593087, 0.593087, 0.00192557, 19.7119, 65.8017, 269.119, 279.392
SZ_vz__rel0.8, SZ_rel_0.8_, 1.34174, 1.34174, 0.0187627, 16.1595, 65.8017, 269.119, 242.635
SZ_vx__rel0.9, SZ_rel_0.9_, 2.99126, 2.98239, 0.0750379, 25.6195, 65.8017, 269.119, 313.957
SZ_vy__rel0.9, SZ_rel_0.9_, 0.573751, 0.573751, 0.00195267, 19.6512, 65.8017, 269.119, 295.259
SZ_vz__rel0.9, SZ_rel_0.9_, 1.47105, 1.47105, 0.0189145, 16.1245, 65.8017, 269.119, 257.96
SZ_vx__rel0.99, SZ_rel_0.99_, 3.28732, 3.28732, 0.0779272, 25.4555, 65.8017, 269.119, 328.039
SZ_vy__rel0.99, SZ_rel_0.99_, 0.572507, 0.572507, 0.00198325, 19.5838, 65.8017, 269.119, 309.052
SZ_vz__rel0.99, SZ_rel_0.99_, 1.48288, 1.48288, 0.0190674, 16.0896, 65.8017, 269.119, 270.574
