Compressor_field__params, name, absolute_error, relative_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_vx__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.12053
BLOSC_vy__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10556
BLOSC_vz__, BLOSC_, 0, 0, 0, inf, 65.8017, 269.119, 1.10954
zfp_vx__rel2, zfp_rel_2_, 9.84688, 5.76349, 1.8708, 11.1123, 65.8017, 269.119, 273.672
zfp_vy__rel2, zfp_rel_2_, 0.709149, 0.709149, 0.0137907, 12.0182, 65.8017, 269.119, 278.137
zfp_vz__rel2, zfp_rel_2_, 1.73835, 1.73835, 0.134723, 7.70623, 65.8017, 269.119, 277.658
zfp_vx__rel1, zfp_rel_1_, 7.91196, 7.91196, 2.77727, 9.39639, 65.8017, 269.119, 310.966
zfp_vy__rel1, zfp_rel_1_, 0.914663, 0.914663, 0.0154969, 11.5116, 65.8017, 269.119, 311.751
zfp_vz__rel1, zfp_rel_1_, 1.99166, 1.99166, 0.151861, 7.18618, 65.8017, 269.119, 311.983
zfp_vx__rate0.2, zfp_rate_0.2_, 7.91196, 7.91196, 2.77727, 9.39639, 65.8017, 269.119, 315.077
zfp_vy__rate0.2, zfp_rate_0.2_, 0.914663, 0.914663, 0.0154969, 11.5116, 65.8017, 269.119, 315.077
zfp_vz__rate0.2, zfp_rate_0.2_, 1.99166, 1.99166, 0.151861, 7.18618, 65.8017, 269.119, 315.077
zfp_vx__rate0.3, zfp_rate_0.3_, 9.84688, 4.45238, 0.243244, 19.9722, 65.8017, 269.119, 215.579
zfp_vy__rate0.3, zfp_rate_0.3_, 0.781565, 0.781565, 0.00423669, 17.1438, 65.8017, 269.119, 215.579
zfp_vz__rate0.3, zfp_rate_0.3_, 1.86826, 1.86826, 0.0394704, 13.0379, 65.8017, 269.119, 215.579
SZ_vx__rel0.8, SZ_rel_0.8_, 2.8926, 2.78338, 0.0711738, 25.3094, 65.8017, 269.119, 302.739
SZ_vy__rel0.8, SZ_rel_0.8_, 0.466328, 0.466328, 0.00200773, 20.3871, 65.8017, 269.119, 278.826
SZ_vz__rel0.8, SZ_rel_0.8_, 1.21714, 1.21714, 0.0192087, 16.1657, 65.8017, 269.119, 243.187
SZ_vx__rel0.9, SZ_rel_0.9_, 3.05721, 2.80992, 0.0743503, 25.1197, 65.8017, 269.119, 319.487
SZ_vy__rel0.9, SZ_rel_0.9_, 0.482868, 0.482868, 0.00203871, 20.3205, 65.8017, 269.119, 294.27
SZ_vz__rel0.9, SZ_rel_0.9_, 1.29537, 1.29537, 0.0193563, 16.1324, 65.8017, 269.119, 258.509
SZ_vx__rel0.99, SZ_rel_0.99_, 3.06585, 2.98313, 0.0771207, 24.9609, 65.8017, 269.119, 333.775
SZ_vy__rel0.99, SZ_rel_0.99_, 0.492295, 0.492295, 0.00206657, 20.2616, 65.8017, 269.119, 308.337
SZ_vz__rel0.99, SZ_rel_0.99_, 1.35463, 1.35463, 0.0195147, 16.097, 65.8017, 269.119, 270.985
