compressor_name,abs,Compressor_field__params,FILE
SZ,0.001,SZ_x__abs0.001,spectrum_1.png
SZ,0.001025641,SZ_x__abs0.0010256410256410256,spectrum_2.png
SZ,0.001051282,SZ_x__abs0.0010512820512820513,spectrum_3.png
SZ,0.001076923,SZ_x__abs0.0010769230769230769,spectrum_4.png
SZ,0.001102564,SZ_x__abs0.0011025641025641025,spectrum_5.png
SZ,0.001128205,SZ_x__abs0.0011282051282051281,spectrum_6.png
SZ,0.001153846,SZ_x__abs0.001153846153846154,spectrum_7.png
SZ,0.001179487,SZ_x__abs0.0011794871794871796,spectrum_8.png
SZ,0.001205128,SZ_x__abs0.0012051282051282052,spectrum_9.png
SZ,0.001230769,SZ_x__abs0.0012307692307692308,spectrum_10.png
SZ,0.00125641,SZ_x__abs0.0012564102564102564,spectrum_11.png
SZ,0.001282051,SZ_x__abs0.001282051282051282,spectrum_12.png
SZ,0.001307692,SZ_x__abs0.0013076923076923077,spectrum_13.png
SZ,0.001333333,SZ_x__abs0.0013333333333333335,spectrum_14.png
SZ,0.001358974,SZ_x__abs0.0013589743589743591,spectrum_15.png
SZ,0.001384615,SZ_x__abs0.0013846153846153847,spectrum_16.png
SZ,0.001410256,SZ_x__abs0.0014102564102564104,spectrum_17.png
SZ,0.001435897,SZ_x__abs0.001435897435897436,spectrum_18.png
SZ,0.001461538,SZ_x__abs0.0014615384615384616,spectrum_19.png
SZ,0.001487179,SZ_x__abs0.0014871794871794872,spectrum_20.png
SZ,0.001512821,SZ_x__abs0.0015128205128205128,spectrum_21.png
SZ,0.001538462,SZ_x__abs0.0015384615384615385,spectrum_22.png
SZ,0.001564103,SZ_x__abs0.001564102564102564,spectrum_23.png
SZ,0.001589744,SZ_x__abs0.0015897435897435897,spectrum_24.png
SZ,0.001615385,SZ_x__abs0.0016153846153846153,spectrum_25.png
SZ,0.001641026,SZ_x__abs0.001641025641025641,spectrum_26.png
SZ,0.001666667,SZ_x__abs0.0016666666666666668,spectrum_27.png
SZ,0.001692308,SZ_x__abs0.0016923076923076924,spectrum_28.png
SZ,0.001717949,SZ_x__abs0.001717948717948718,spectrum_29.png
SZ,0.00174359,SZ_x__abs0.0017435897435897436,spectrum_30.png
SZ,0.001769231,SZ_x__abs0.0017692307692307695,spectrum_31.png
SZ,0.001794872,SZ_x__abs0.001794871794871795,spectrum_32.png
SZ,0.001820513,SZ_x__abs0.0018205128205128207,spectrum_33.png
SZ,0.001846154,SZ_x__abs0.0018461538461538463,spectrum_34.png
SZ,0.001871795,SZ_x__abs0.001871794871794872,spectrum_35.png
SZ,0.001897436,SZ_x__abs0.0018974358974358976,spectrum_36.png
SZ,0.001923077,SZ_x__abs0.0019230769230769232,spectrum_37.png
SZ,0.001948718,SZ_x__abs0.0019487179487179488,spectrum_38.png
SZ,0.001974359,SZ_x__abs0.0019743589743589744,spectrum_39.png
SZ,0.002,SZ_x__abs0.002,spectrum_40.png
SZ,0.002025641,SZ_x__abs0.0020256410256410257,spectrum_41.png
SZ,0.002051282,SZ_x__abs0.0020512820512820513,spectrum_42.png
SZ,0.002076923,SZ_x__abs0.002076923076923077,spectrum_43.png
SZ,0.002102564,SZ_x__abs0.0021025641025641025,spectrum_44.png
SZ,0.002128205,SZ_x__abs0.002128205128205128,spectrum_45.png
